Signal1,Signal2
24,21
21,21
16,8
6,3
0,0
5,10
14,12
26,24
24,24
36,25
35,32
28,18
18,16
12,8
3,0
1,0
9,14
13,15
25,21
26,24
31,28
37,32
22,21
19,17
12,8
1,0
0,2
16,14
16,17
32,27
15,13
13,13
30,24
14,5
8,8
20,20
35,31
8,5
10,9
21,21
25,20
1,1
11,11
31,26
15,11
12,11
30,25
17,6
9,7
28,24
30,29
5,1
9,12
23,22
24,18
5,2
10,13
30,27
16,9
5,8
28,20
27,28
5,4
9,6
15,13
31,26
1,5
0,3
16,16
33,29
12,9
14,12
32,28
13,9
6,6
12,14
32,25
13,9
9,10
31,22
29,21
0,0
18,17
34,28
9,6
2,3
13,9
29,24
18,18
5,7
30,23
24,22
11,4
16,15
33,28
13,11
18,18
32,27
11,3
12,11
30,29
12,9
5,6
13,14
28,25
7,12
11,7
30,26
23,18
3,9
19,17
35,34
4,3
0,4
13,11
27,23
13,10
15,13
30,25
15,3
8,10
31,21
20,17
1,1
20,14
36,29
2,6
3,4
13,12
31,23
12,9
7,7
16,19
36,27
4,1
8,6
16,15
26,25
11,6
7,9
22,22
26,23
1,0
12,9
25,23
19,16
7,4
12,9
31,23
19,18
9,8
23,22
31,25
4,0
10,10
27,27
15,16
9,15
22,21
18,17
3,7
16,15
30,26
0,1
0,0
14,15
33,29
9,6
0,1
11,6
26,8
46,24
7,11
16,16
32,29
5,5
0,0
7,9
0,16
41,3
29,16
14,12
33,26
17,10
15,19
31,29
8,11
6,10
26,17
19,17
8,5
0,8
25,20
25,24
0,0
13,11
28,24
13,11
16,13
28,25
9,9
0,2
8,8
30,20
29,23
1,1
12,10
32,28
15,11
13,15
32,26
5,8
0,0
1,3
24,20
30,23
6,0
8,12
20,19
18,18
3,5
12,9
26,25
20,17
5,6
30,19
29,27
7,4
4,7
14,10
31,18
5,3
3,2
15,18
32,29
12,8
7,8
12,15
27,21
4,0
0,3
26,22
27,28
9,5
0,2
9,9
25,20
29,24
0,0
14,14
32,29
14,10
18,13
29,30
16,11
24,15
34,30
12,5
13,14
32,28
13,8
9,12
22,18
24,19
0,1
12,10
26,26
15,10
11,13
24,28
13,3
8,7
27,21
30,27
2,3
10,13
37,28
15,14
15,15
32,29
13,12
20,16
34,32
13,9
14,10
34,30
16,11
17,15
34,31
14,12
20,13
37,35
15,4
13,9
22,24
21,18
5,3
12,13
32,27
12,2
8,7
27,24
30,27
1,0
6,10
23,20
25,20
0,2
11,12
35,26
16,8
5,6
23,21
31,31
8,6
10,7
18,19
28,24
0,2
9,12
31,27
26,21
4,8
23,22
34,25
13,7
14,15
34,32
11,13
18,18
37,28
12,9
13,12
32,30
15,13
17,17
33,33
14,10
21,19
37,32
12,11
29,23
35,32
11,6
21,17
39,30
14,16
23,20
38,36
12,7
14,14
32,29
15,16
14,15
36,32
15,10
21,18
37,30
5,9
2,1
13,13
35,31
17,8
4,5
23,20
43,33
6,6
10,5
23,23
28,25
0,1
11,10
36,31
24,16
9,11
36,28
26,20
7,7
35,25
37,34
6,3
7,6
18,15
37,28
6,2
1,0
18,16
40,36
11,9
14,11
39,34
17,16
14,18
38,32
16,13
20,20
39,36
9,5
1,3
13,11
34,26
17,13
15,15
31,26
12,11
12,14
39,27
7,6
1,3
21,19
44,29
4,12
16,13
36,34
16,14
15,19
36,36
14,15
21,20
37,36
12,6
18,13
35,33
16,13
17,14
40,34
12,11
21,19
36,31
9,9
6,6
12,10
32,32
16,11
15,10
33,25
11,10
20,15
36,29
3,4
6,8
25,22
39,37
4,7
5,4
16,13
32,32
15,12
19,17
32,27
7,0
3,3
20,18
41,31
12,14
25,18
40,34
4,5
6,2
16,12
31,23
11,12
22,15
31,25
10,6
10,9
34,29
23,24
3,2
20,24
37,30
10,7
17,13
40,32
14,12
19,16
37,33
17,7
12,12
37,33
15,11
18,15
37,28
15,11
19,18
41,30
12,7
12,12
33,29
16,10
18,11
37,29
14,7
11,2
22,20
23,22
1,0
12,14
31,26
15,11
17,14
29,23
9,4
0,2
18,15
36,33
14,9
12,8
24,23
25,20
5,3
15,8
33,28
24,23
9,3
26,23
36,30
7,5
9,9
20,18
28,29
6,2
1,3
19,14
37,33
10,4
16,12
36,31
19,14
14,16
40,34
16,12
22,14
44,31
9,8
2,2
14,13
36,28
15,12
15,11
40,30
8,10
9,9
29,25
33,28
2,2
11,12
38,26
18,15
17,13
39,33
11,11
22,17
40,34
21,9
11,11
38,35
18,13
18,17
43,35
16,12
16,17
40,31
15,16
31,22
38,33
12,5
18,16
40,34
17,12
24,19
46,40
17,8
13,14
43,38
19,14
20,16
47,35
16,13
23,22
44,34
14,12
33,23
40,35
8,5
8,8
17,12
42,32
11,12
21,21
35,32
9,9
3,5
26,24
43,42
16,11
30,25
45,37
8,3
11,10
37,32
23,17
15,14
41,38
20,16
21,18
44,36
18,16
23,21
46,38
20,17
36,20
43,38
13,6
21,18
44,35
19,11
23,22
42,45
5,2
4,2
13,12
37,32
15,8
6,6
21,21
45,32
6,6
11,8
24,25
28,24
0,1
11,14
37,32
19,18
18,13
38,30
18,12
19,9
43,34
25,19
14,12
39,33
24,16
18,15
36,33
17,15
20,21
31,27
18,7
12,15
40,35
21,16
16,15
38,34
15,5
13,9
39,30
33,29
3,5
25,21
42,37
17,14
38,28
41,37
12,8
23,20
45,39
21,11
27,22
49,53
13,12
22,28
65,55
13,11
40,38
58,51
8,5
18,16
54,51
33,30
27,23
62,56
29,22
33,32
64,60
29,19
39,17
90,72
0,4
8,10
41,32
52,44
2,0
15,10
61,52
40,36
21,17
62,54
39,27
27,27
64,53
31,9
18,14
61,55
52,482
38,41
26,26
58,42
120,207
199,190
185,150
31,22
22,34
59,38
0,1
23,23
63,50
46,39
190,149
70,66
51,38
85,79
635,589
41,31
25,16
29,24
74,63
50,44
0,0
37,33
72,67
29,23
43,24
80,66
5,8
10,13
52,53
41,34
12,14
93,97
330,276
490,485
31,24
46,52
49,54
31,21
30,33
74,53
8,3
7,14
58,52
60,50
0,3
38,34
67,67
33,25
43,39
73,66
24,28
222,116
111,328
0,0
443,366
62,60
23,29
63,51
22,17
54,53
41,30
8,72
103,446
48,32
55,66
77,58
14,11
56,46
68,61
8,4
21,19
66,63
424,353
131,173
12,30
0,16
83,69
38,32
25,27
66,53
38,26
31,7
66,58
49,36
23,21
69,60
48,35
30,26
67,55
37,46
43,53
22,49
59,27
47,34
139,115
24,27
76,74
27,19
36,36
75,70
27,35
49,26
40,531
187,129
772,705
89,132
0,765
412,321
712,662
123,106
0,743
375,314
706,657
120,94
0,705
491,442
608,574
86,369
3,0
87,70
32,25
26,29
233,181
48,93
18,674
452,387
687,644
116,303
99,312
190,132
950,714
86,141
0,849
391,334
704,652
130,134
23,779
223,150
566,674
73,117
8,746
518,351
704,657
128,133
0,746
257,304
718,660
126,120
0,863
333,301
711,659
126,97
1,695
529,466
586,577
52,383
94,486
523,463
592,582
66,387
88,490
529,450
601,577
92,379
83,520
