Signal1,Signal2
66,153
40,151
15,153
58,55
23,299
44,149
62,131
15,305
5,154
43,30
45,240
33,147
48,136
13,287
49,126
7,154
54,129
18,290
61,142
56,136
33,228
44,195
26,153
59,85
19,312
52,78
43,150
23,198
42,156
26,154
69,71
28,277
73,124
35,153
43,178
43,210
43,148
56,111
5,268
68,56
43,154
51,200
74,165
5,125
13,77
38,235
56,136
65,112
9,173
68,91
24,153
9,105
57,206
7,110
40,69
14,297
48,96
36,146
17,201
39,154
14,147
68,54
32,205
40,72
44,145
10,91
66,60
40,146
42,67
68,151
22,151
75,97
46,123
70,1
63,135
26,256
78,184
8,153
76,93
59,215
33,145
65,111
35,321
35,136
13,152
43,35
52,252
43,88
52,125
27,283
90,2
40,148
42,200
48,201
29,145
55,110
16,167
44,89
5,154
35,178
48,184
25,146
73,122
9,273
41,7
57,136
20,250
66,119
19,154
66,68
24,295
60,132
45,152
59,217
44,220
29,151
48,132
24,296
60,45
25,154
56,127
51,236
40,133
62,138
34,226
55,154
14,154
53,60
22,235
53,121
42,154
36,208
68,229
35,153
51,130
19,313
58,131
9,150
35,63
40,256
23,152
47,144
7,302
61,21
39,146
32,184
55,256
31,154
53,130
6,301
65,15
46,154
6,231
57,139
2,153
64,72
38,266
33,148
55,143
11,266
50,72
27,153
50,45
55,255
19,133
42,141
15,305
90,72
29,153
57,103
31,263
41,139
42,149
27,234
49,142
15,154
62,59
3,317
40,142
54,143
48,293
61,148
17,154
65,62
19,310
60,102
28,154
53,178
45,261
18,150
51,115
13,270
62,98
16,152
67,67
60,248
30,153
58,133
8,300
62,31
45,153
44,8
64,43
32,153
61,167
35,259
36,149
63,118
6,276
58,33
24,153
45,143
51,260
36,147
47,149
14,252
62,142
13,153
54,49
43,310
42,124
36,154
13,216
63,222
34,154
54,92
13,288
66,92
38,147
23,256
51,192
12,154
60,55
16,304
53,43
55,153
58,233
64,128
19,154
51,67
14,314
65,98
61,136
43,246
57,125
19,154
68,35
21,293
55,79
57,143
15,212
57,137
0,153
47,42
41,238
37,145
53,135
4,266
63,3
32,152
67,240
55,143
15,154
56,85
26,270
64,86
56,146
35,229
33,156
6,154
60,7
51,236
22,150
46,111
14,288
79,0
37,153
37,215
53,183
19,154
61,92
17,314
58,64
51,148
51,202
43,236
24,153
64,108
18,350
69,39
29,153
43,157
42,244
53,150
47,134
8,225
68,58
31,154
45,127
23,255
34,138
45,136
15,236
55,106
2,154
49,82
40,273
36,139
45,142
4,233
56,24
31,154
53,151
39,263
34,149
61,124
23,298
57,82
15,154
67,127
33,288
42,128
48,153
35,192
66,238
32,154
67,188
6,304
59,68
56,152
22,203
52,292
18,154
71,123
11,272
63,46
29,152
35,132
54,281
34,151
80,0
27,251
58,82
46,142
51,285
50,165
19,153
64,101
11,291
58,5
39,153
20,259
60,100
18,152
64,90
33,322
60,101
28,151
45,183
51,257
28,145
53,133
5,115
60,68
30,153
36,200
45,253
37,154
61,138
11,306
73,74
20,151
41,93
47,247
24,154
62,136
0,295
64,9
48,153
11,247
64,126
2,152
54,46
51,288
25,144
58,148
7,287
53,38
43,149
46,179
43,287
33,146
50,147
14,304
54,105
7,151
54,110
33,295
51,142
64,150
41,249
50,227
28,154
60,83
30,322
54,79
34,150
26,255
65,147
3,154
68,26
25,256
42,144
41,149
14,228
64,150
17,154
64,63
20,320
67,108
36,154
53,194
53,221
30,153
53,123
17,293
68,81
18,153
53,104
29,306
38,137
44,151
19,271
62,183
10,152
61,114
6,341
66,62
52,153
34,247
42,217
17,154
60,105
1,340
56,72
53,153
26,252
55,189
9,152
61,26
39,323
43,151
48,152
24,271
56,103
26,154
74,37
27,312
53,109
53,154
53,194
56,250
30,153
63,134
2,280
53,5
58,147
22,278
59,148
8,149
49,50
47,301
40,152
57,152
24,291
68,114
10,152
67,45
29,337
48,123
46,153
43,226
56,147
14,153
70,116
5,325
63,35
47,153
37,232
59,120
10,154
61,102
4,144
51,91
54,154
26,247
54,209
15,154
53,121
0,348
61,73
54,154
30,259
64,196
21,153
64,108
1,336
54,76
59,152
19,245
55,194
0,154
63,3
54,239
31,154
58,129
0,317
65,20
50,154
27,217
50,244
9,154
54,28
37,307
47,126
52,154
23,224
67,207
26,111
72,55
14,324
54,87
51,148
22,227
50,208
17,153
63,108
4,293
69,90
64,132
39,301
55,201
30,153
67,91
35,196
55,78
61,150
25,262
47,196
22,154
71,77
25,341
53,72
60,142
28,216
61,184
7,153
66,19
43,306
42,150
54,152
21,278
79,136
9,152
50,20
51,286
38,147
55,151
22,287
58,151
3,151
34,0
56,205
32,152
56,70
19,313
54,61
49,154
34,268
43,200
24,153
45,112
19,319
62,15
40,152
38,174
39,278
26,153
55,148
22,300
51,124
1,152
62,76
43,269
41,153
70,133
5,308
58,3
58,151
7,274
46,70
35,153
44,151
33,338
26,145
55,148
39,290
60,156
5,153
51,0
54,208
12,154
69,97
29,346
53,67
41,154
47,280
64,177
1,99
37,59
44,253
33,153
58,126
10,337
57,69
16,151
55,139
49,216
30,141
56,148
25,263
48,129
9,153
57,40
49,240
39,150
64,139
17,219
65,203
10,153
61,73
21,346
70,133
48,154
55,247
73,132
14,153
58,103
7,304
67,50
52,152
35,215
59,251
20,154
43,144
5,323
75,56
51,154
40,229
64,223
23,154
68,122
8,320
60,60
49,153
27,237
56,203
19,153
59,121
4,305
53,33
50,154
33,230
55,198
22,155
63,108
1,348
56,71
52,152
28,276
64,137
17,153
35,122
5,336
55,61
62,153
35,267
47,197
8,153
60,8
54,237
27,154
64,133
13,327
65,33
21,154
34,96
54,216
14,151
64,111
8,288
70,39
44,154
35,249
58,166
28,153
72,93
13,297
59,81
63,146
26,222
56,168
17,154
58,81
30,303
52,85
51,144
28,240
56,151
18,154
55,87
23,301
61,97
55,145
30,254
62,136
4,154
55,32
40,281
46,152
51,145
11,241
67,114
19,154
58,65
33,322
48,93
39,154
24,257
64,170
10,153
62,84
24,355
64,111
53,154
41,203
52,254
24,153
48,131
17,315
57,98
22,151
54,89
62,231
19,154
58,125
13,323
59,85
32,153
38,121
55,309
39,143
57,150
25,257
73,172
13,154
69,77
34,333
55,96
62,149
12,292
57,164
7,153
42,9
63,210
0,154
50,0
55,251
22,152
68,129
9,312
56,6
51,152
22,299
55,99
15,154
48,79
50,259
35,153
62,148
10,273
62,137
11,151
60,62
28,312
47,113
34,154
32,248
54,218
10,152
67,113
1,290
62,51
52,151
35,253
54,150
24,154
69,111
10,322
63,36
26,155
45,157
56,262
43,151
31,154
24,285
58,152
5,153
52,49
52,280
49,153
57,148
11,281
61,103
4,154
57,105
37,319
40,119
48,154
33,225
58,224
20,153
62,111
0,256
56,82
48,153
33,261
55,225
12,153
54,115
2,342
52,73
51,153
33,253
101,210
27,150
53,150
13,295
62,140
15,153
59,50
43,326
45,127
33,154
34,243
29,282
24,153
54,139
61,188
11,133
30,153
30,33
51,241
7,140
74,94
21,303
54,100
14,153
66,223
46,260
34,153
61,104
17,299
63,151
3,150
79,104
40,270
101,151
42,152
0,71
88,9
50,153
56,229
43,230
42,154
48,133
5,284
68,0
60,149
3,202
52,75
36,151
42,160
33,320
43,149
41,147
17,270
58,94
71,154
64,87
48,229
43,150
61,137
9,298
44,0
52,150
30,263
58,160
14,154
60,65
16,319
48,81
47,142
13,250
48,185
1,154
60,53
49,283
32,137
57,152
25,287
59,173
33,151
46,108
14,301
59,34
29,154
32,193
47,256
21,153
65,133
30,244
60,92
7,153
50,232
54,185
25,153
64,93
2,318
52,130
25,154
27,239
54,187
16,153
49,103
5,322
76,70
54,151
36,239
54,220
17,153
37,125
0,284
63,88
43,149
18,231
56,164
15,154
68,87
25,332
59,93
46,149
24,255
56,157
35,153
78,35
6,316
48,137
49,151
31,257
54,177
8,153
50,28
38,291
40,138
59,143
42,285
57,183
16,153
71,68
27,318
68,91
45,151
25,265
61,192
16,153
73,93
19,323
51,119
51,154
29,206
61,246
15,152
76,97
23,337
59,5
57,149
19,268
66,148
0,154
56,45
42,280
35,150
57,148
0,294
58,42
35,152
33,153
51,179
35,151
69,144
6,304
57,25
42,153
36,170
65,243
43,153
47,148
19,301
46,139
24,151
58,11
41,293
45,129
58,153
43,256
56,180
12,154
70,91
22,309
47,78
37,150
36,268
57,148
11,154
46,76
16,299
57,108
34,154
61,220
55,264
33,149
55,137
11,286
58,138
0,153
58,112
46,284
43,128
35,153
35,246
56,193
16,154
62,118
7,301
48,62
57,153
38,244
61,171
16,154
70,93
30,268
66,100
43,154
46,189
43,205
32,148
54,145
7,291
74,2
51,147
29,248
46,95
8,149
46,131
29,244
25,135
52,146
22,249
47,150
9,152
52,32
41,267
46,147
33,148
16,266
65,115
3,154
52,39
35,220
36,151
60,147
10,291
53,164
22,150
62,29
36,336
49,124
49,144
39,222
41,211
20,153
57,68
9,302
44,137
47,153
26,246
62,165
14,154
69,82
34,298
58,79
62,147
50,276
48,142
20,154
71,62
16,321
48,89
44,140
28,245
50,156
1,154
61,20
47,274
49,146
47,150
34,271
48,136
15,154
69,87
25,323
61,110
46,153
37,185
56,189
40,153
58,126
13,263
60,74
23,154
41,90
54,195
7,154
63,36
25,315
59,122
26,154
37,224
48,198
19,153
47,124
11,321
75,54
25,151
51,120
48,221
32,147
57,77
8,279
74,32
53,153
31,249
56,233
15,153
68,122
9,297
66,41
56,153
22,219
55,220
19,153
60,123
1,333
69,47
54,153
31,234
47,210
9,154
53,28
28,319
36,128
42,153
31,262
51,201
17,154
64,54
14,320
55,91
43,152
32,267
62,104
5,153
54,19
42,299
41,147
64,137
22,277
67,100
16,153
60,65
23,314
65,111
36,153
39,211
54,249
24,153
62,123
6,330
69,45
55,153
40,200
57,180
23,154
57,106
6,278
74,58
50,151
40,224
53,184
20,154
59,91
22,317
55,64
44,151
18,231
57,174
16,153
63,83
9,309
43,140
59,151
47,245
59,171
24,153
66,78
9,313
53,136
47,148
14,226
38,173
12,153
71,67
30,307
58,96
52,144
25,256
55,148
13,153
59,109
3,334
55,79
43,153
21,253
55,213
8,154
53,35
52,285
36,148
56,150
24,252
42,173
21,154
68,41
18,310
53,116
43,154
37,197
55,259
8,13
52,24
27,304
32,131
61,150
1,262
49,42
18,150
45,149
42,304
43,149
50,149
14,290
56,143
5,152
55,69
50,255
37,154
43,137
21,289
65,87
29,154
61,120
33,305
50,136
51,151
27,209
65,178
19,154
69,103
8,298
51,59
56,151
19,233
61,149
16,154
64,77
15,289
67,93
56,145
25,246
54,160
0,152
67,31
55,250
45,149
63,137
37,266
58,111
6,154
57,44
42,275
34,148
49,146
14,271
53,165
48,152
62,68
15,298
53,117
46,154
37,224
45,210
27,154
53,118
6,315
71,47
61,152
32,219
58,201
39,154
62,99
14,322
71,73
38,152
40,229
54,187
17,154
70,96
6,309
64,145
51,152
50,248
67,182
22,155
60,85
11,320
78,97
54,151
33,251
65,171
15,154
66,79
16,323
26,93
53,147
31,260
69,147
11,153
59,107
3,311
60,9
49,125
7,260
67,28
42,150
35,212
52,201
28,153
74,90
3,316
43,131
42,152
27,231
56,193
25,154
66,102
4,320
54,47
56,153
28,216
52,187
18,154
65,88
27,301
58,79
52,152
33,244
59,162
29,152
69,68
12,306
64,91
54,148
42,266
51,171
23,154
53,87
23,310
62,98
35,149
32,255
56,139
18,153
64,77
34,309
100,99
46,153
47,197
55,211
29,153
44,148
11,291
57,130
3,151
59,72
49,266
23,153
62,141
13,316
63,128
4,151
54,88
45,269
24,153
67,117
7,308
68,43
39,153
38,217
52,203
37,153
57,106
7,307
53,61
34,154
22,184
60,205
20,154
75,95
30,323
61,68
42,151
31,208
3,189
5,152
59,96
48,228
39,153
53,144
12,295
62,80
26,153
54,110
47,260
44,133
62,146
32,260
55,166
22,153
70,55
20,299
66,95
53,144
23,256
70,165
11,154
55,68
27,315
62,100
35,154
46,191
45,209
35,152
48,133
3,299
66,27
51,154
47,204
45,232
34,154
56,128
8,302
59,32
45,153
51,212
50,211
34,153
35,125
10,306
70,40
29,153
62,152
34,275
50,139
8,152
1,338
47,12
59,153
63,282
27,201
24,154
35,63
19,292
79,105
40,153
52,128
43,177
46,134
51,146
21,262
58,121
4,153
51,39
48,252
35,142
46,142
36,293
57,104
27,149
69,2
37,241
29,144
73,148
24,296
65,109
0,153
51,87
80,198
35,153
75,113
4,262
69,2
57,141
32,189
30,105
24,152
43,54
5,336
44,149
48,143
28,275
66,98
11,153
61,59
46,255
48,153
57,140
19,291
60,116
10,154
60,41
31,280
59,138
44,149
32,224
45,214
23,153
62,102
9,310
48,52
49,151
39,229
57,182
18,154
61,100
4,302
59,60
50,141
37,234
59,175
23,154
65,77
7,324
49,139
38,153
29,240
64,137
22,154
67,65
15,298
62,97
40,146
30,256
55,184
11,154
62,57
20,293
51,79
54,147
31,241
55,154
25,154
68,27
32,304
63,100
38,154
56,171
48,207
25,143
66,122
21,286
49,91
24,154
51,87
61,216
31,151
56,120
10,287
63,30
12,154
47,90
54,201
23,153
55,112
2,262
62,15
39,153
43,210
55,206
33,153
48,115
6,285
57,37
39,152
39,204
54,195
26,153
52,103
6,307
55,41
47,152
33,214
54,192
25,154
65,95
4,293
52,122
58,150
35,233
57,190
15,154
68,99
12,296
69,74
52,152
29,232
49,195
15,154
66,81
14,338
52,84
55,150
21,237
67,170
19,154
53,92
47,313
59,90
44,150
40,244
61,150
16,153
58,62
19,324
58,88
52,148
32,263
57,153
13,153
68,62
27,321
46,102
24,153
43,196
54,208
31,154
61,112
8,297
60,13
44,154
37,217
64,205
29,154
43,121
13,303
53,54
10,154
50,125
44,269
40,142
47,143
25,256
57,143
9,153
62,39
41,268
42,149
55,146
29,258
53,149
11,153
59,76
28,361
47,114
57,152
41,193
54,233
26,153
63,135
4,317
59,11
26,153
41,204
52,239
34,153
54,120
8,296
54,41
42,153
19,204
67,184
26,154
60,101
20,330
54,54
22,153
35,123
43,240
34,145
54,145
13,257
61,145
4,153
67,72
47,257
40,147
54,137
27,264
59,114
15,154
68,6
37,229
21,146
57,135
22,298
67,161
5,154
71,66
60,237
8,147
71,89
23,307
53,67
54,149
29,231
62,173
3,154
52,0
64,201
34,152
61,111
12,321
52,21
18,153
40,133
46,244
37,149
61,140
14,267
64,132
6,153
61,62
53,234
48,132
54,143
20,275
50,141
17,148
61,4
36,260
29,150
57,139
2,288
73,0
51,148
13,249
64,152
10,154
67,63
32,306
71,128
41,153
44,177
44,231
28,152
42,141
20,295
58,83
9,153
37,196
57,213
10,152
64,122
1,274
62,29
45,154
45,214
43,207
28,150
62,112
6,291
64,36
43,153
39,213
54,224
28,154
61,120
16,303
60,66
32,153
50,137
43,260
44,148
64,130
2,263
88,3
43,152
27,206
55,192
18,154
75,86
7,310
51,137
47,151
34,241
55,169
16,154
61,86
15,318
54,74
38,149
25,247
55,174
10,154
57,86
22,322
50,85
54,150
22,229
51,159
24,153
68,59
27,288
75,105
24,154
45,183
46,220
31,151
65,125
4,281
64,7
57,145
17,270
54,144
9,153
56,30
39,262
52,151
54,144
22,272
51,130
9,152
58,55
35,256
38,150
48,137
19,270
66,107
4,154
62,58
51,234
32,149
58,138
13,284
51,108
8,153
58,88
45,237
36,153
53,133
17,289
73,78
15,152
50,98
55,231
26,153
61,124
13,268
56,83
19,154
63,99
51,209
33,154
53,127
11,313
61,101
6,153
49,119
48,305
35,132
56,152
22,220
66,202
19,154
56,111
0,341
63,77
57,153
30,267
54,186
9,153
54,2
59,234
24,153
49,132
8,314
58,30
51,154
33,214
61,237
27,154
60,124
1,323
66,16
43,154
27,230
50,191
24,153
56,93
11,333
65,50
42,153
29,229
54,190
16,154
65,109
8,309
61,57
53,153
27,227
60,201
23,155
57,76
13,304
58,111
33,153
43,179
51,232
29,151
58,131
10,264
62,126
0,151
66,76
41,284
37,152
47,146
9,290
61,0
40,153
8,258
55,72
31,152
44,119
42,300
35,145
38,151
20,288
55,175
4,153
58,26
58,291
30,147
53,150
0,241
67,36
36,152
42,171
37,280
45,151
55,146
7,291
58,41
41,154
44,188
47,231
28,153
51,138
13,279
70,93
10,151
65,116
32,286
40,136
36,149
22,241
63,154
22,154
58,107
12,324
61,22
35,152
41,143
47,281
29,145
61,146
17,280
64,138
3,152
64,52
66,260
30,152
61,147
11,300
56,130
6,152
49,40
49,266
32,152
54,144
0,285
70,0
59,150
26,264
66,175
0,153
46,3
52,212
16,153
55,120
11,297
65,12
27,153
50,165
43,244
40,150
66,136
13,283
63,118
3,153
55,55
46,268
38,151
43,142
31,295
83,81
10,152
61,86
58,224
34,152
54,123
10,288
67,77
20,152
57,99
46,229
36,150
58,116
0,298
72,0
50,142
34,210
54,118
14,149
58,43
37,310
49,120
45,154
39,207
51,237
24,153
52,137
4,299
53,0
49,150
10,280
61,145
4,153
64,38
46,244
47,151
59,141
21,283
50,110
23,154
57,24
41,283
53,138
45,152
30,230
52,198
30,154
52,71
1,371
47,140
39,151
35,256
49,203
11,154
64,85
18,335
55,88
42,151
45,261
49,175
27,154
56,75
23,282
67,89
41,147
19,247
50,159
9,154
54,25
39,267
44,141
57,143
27,257
58,135
32,154
52,75
23,303
80,131
42,154
34,201
48,220
30,153
53,137
5,239
61,20
52,153
41,227
51,208
29,154
55,115
0,299
65,42
55,152
25,220
46,192
18,154
63,103
3,292
69,62
43,152
36,232
54,166
14,154
68,96
9,310
50,133
44,152
30,241
34,191
23,154
60,87
6,320
52,141
50,150
25,217
50,173
27,154
63,73
26,310
58,95
48,149
31,254
67,148
22,154
53,73
18,311
55,99
52,148
26,256
62,150
30,151
87,3
49,283
74,142
50,151
7,159
80,31
3,154
43,268
54,193
32,154
64,100
8,278
73,40
54,152
29,223
66,192
23,152
64,118
7,348
54,50
58,153
37,259
50,179
15,154
62,94
29,329
55,78
45,150
32,237
29,164
9,154
52,13
30,293
39,142
30,154
30,264
76,113
17,153
51,84
21,293
54,97
57,146
23,255
58,135
10,153
64,48
22,316
57,108
46,152
44,197
56,218
28,153
61,117
10,308
60,93
20,153
50,120
50,268
42,142
49,153
12,256
68,147
17,155
72,67
20,306
52,92
61,146
17,245
50,130
6,154
60,45
47,263
42,145
48,144
22,263
52,137
6,154
61,62
42,268
41,148
67,132
18,282
63,123
0,153
58,63
51,237
46,150
62,138
18,283
55,139
5,153
54,73
52,244
41,152
49,139
18,256
61,93
15,153
59,89
44,244
26,150
59,121
9,280
64,10
44,154
50,191
49,236
33,151
55,126
8,296
56,6
58,142
8,230
61,58
36,153
54,156
54,247
34,149
54,150
27,275
62,120
4,153
59,62
47,245
30,150
53,151
13,245
57,148
2,152
42,27
51,289
44,150
51,153
13,275
52,150
1,151
55,56
57,263
36,153
