Signal1,Signal2
0,0
0,0
0,2
0,2
0,0
0,0
0,1
0,0
0,1
0,0
0,1
0,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,2
0,0
0,0
0,7
0,0
0,0
1,0
0,0
0,0
0,0
0,2
0,0
0,0
0,0
0,6
0,0
0,2
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,1
0,2
0,0
0,2
0,0
0,0
0,3
0,0
0,1
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
1,0
0,0
0,0
0,0
0,3
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,1
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,11
0,0
0,0
0,0
0,0
0,5
10,22
23,11
4,45
10,19
0,15
0,0
4,10
0,0
0,0
0,0
0,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,1
0,1
0,0
0,0
0,0
0,0
0,2
0,0
0,0
0,0
0,0
0,0
0,2
0,1
0,0
0,0
1,0
0,0
0,4
0,1
0,0
0,0
0,1
0,2
0,0
0,0
0,0
0,2
0,0
0,0
0,1
0,0
0,0
0,2
0,0
0,0
0,1
0,3
0,0
0,1
0,0
0,1
0,1
0,0
0,0
0,8
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,1
0,2
0,0
0,0
0,2
0,0
0,0
0,13
0,0
0,3
0,0
0,0
0,0
0,0
0,3
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,0
0,0
0,1
0,0
0,0
0,4
0,0
0,0
0,0
0,0
0,4
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,1
0,0
0,2
0,0
0,0
0,1
0,0
0,0
0,2
0,0
1,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
0,0
0,0
0,2
0,0
0,0
0,0
0,0
0,0
0,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,2
0,3
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,3
1,0
0,0
0,0
0,0
0,0
0,1
0,1
0,0
0,0
0,0
0,2
2,0
0,0
0,0
0,1
0,1
0,0
0,0
