Signal1,Signal2
72,4
75,8
46,0
63,13
0,10
5,1
9,0
48,0
58,9
78,10
63,8
48,8
85,9
41,0
40,0
1,0
5,2
6,0
55,11
62,18
77,10
73,10
67,6
90,3
30,0
15,8
1,1
8,0
25,0
78,6
70,9
74,6
64,0
64,0
88,6
28,0
20,0
2,0
18,3
58,5
74,7
88,14
8,4
66,5
67,1
42,0
0,1
18,0
78,10
85,13
10,0
75,10
91,4
0,0
12,0
57,0
80,12
11,0
31,0
75,5
82,4
3,0
6,0
33,8
74,5
91,3
1,0
16,7
63,1
64,2
52,0
9,0
77,6
60,4
48,1
0,0
9,0
68,4
64,4
43,5
0,3
20,0
80,12
88,12
12,0
79,13
89,2
0,4
17,1
62,2
83,7
56,0
11,0
79,3
72,0
31,0
14,2
65,7
48,0
70,0
9,4
60,5
75,6
59,0
1,0
12,0
83,4
83,4
23,0
17,7
67,3
76,0
66,2
7,0
63,2
74,4
52,0
0,0
11,0
76,6
57,15
0,0
20,8
63,6
76,12
2,0
9,0
63,0
68,4
56,3
0,0
12,1
81,4
57,0
17,1
20,3
66,5
59,3
54,0
11,1
78,4
71,7
20,2
12,2
65,8
79,6
61,3
15,0
80,7
49,0
28,0
13,0
66,6
74,5
72,8
10,7
81,10
78,0
0,2
9,4
37,0
77,4
82,6
0,1
7,0
39,0
83,5
98,1
0,0
23,5
72,6
54,0
53,0
14,0
82,7
48,3
24,0
20,0
70,3
88,6
67,0
14,2
84,8
70,4
27,0
15,2
74,3
77,5
79,1
11,0
86,3
76,5
36,0
10,0
71,4
83,4
85,1
10,2
89,11
79,9
19,0
20,0
68,0
74,0
44,0
8,1
67,10
61,4
23,0
16,3
68,3
62,1
55,0
8,0
89,12
67,2
28,0
19,2
67,5
79,8
71,0
10,0
83,11
94,0
14,0
46,8
70,9
73,5
0,2
11,0
83,0
73,2
40,0
5,4
36,4
83,7
96,5
0,3
16,4
64,4
76,4
75,1
11,3
84,11
89,8
19,0
39,3
73,1
72,3
0,0
11,4
82,4
76,0
39,0
16,1
66,5
80,0
87,3
8,9
42,0
71,4
73,4
24,0
19,0
87,3
84,8
7,0
13,0
69,5
83,2
82,4
7,1
47,4
75,3
70,2
4,5
8,8
61,12
73,20
0,1
11,4
64,5
80,3
81,5
6,2
51,6
79,2
68,1
1,0
8,2
56,0
73,1
61,7
0,0
12,0
79,9
72,0
21,2
0,17
73,18
52,15
16,12
80,0
71,2
38,3
11,5
89,8
66,14
0,1
20,0
76,5
68,4
49,0
18,5
87,10
98,3
0,1
27,8
73,8
86,7
62,0
15,0
81,6
81,6
32,2
17,8
65,3
45,0
72,5
15,3
79,7
71,1
35,0
13,0
60,1
81,0
80,2
10,0
82,5
77,0
38,0
9,2
33,4
83,4
91,10
9,4
42,6
75,8
72,2
5,0
8,2
59,11
77,2
39,4
11,2
68,9
85,6
84,3
5,0
47,7
76,2
67,1
17,0
24,1
86,6
87,5
0,0
9,2
33,5
87,9
96,9
0,1
18,5
64,0
51,0
65,0
9,3
61,5
77,3
60,0
0,0
13,1
82,7
61,2
23,0
19,2
66,4
91,4
64,0
11,3
83,5
76,7
28,1
10,2
68,5
75,0
72,6
5,2
56,1
76,6
64,4
0,2
10,0
83,8
49,0
26,0
11,0
65,5
96,12
28,0
26,1
88,10
90,0
3,0
37,0
79,6
68,0
28,2
15,3
90,6
79,0
16,0
26,3
77,8
72,4
40,0
17,0
86,4
67,3
21,1
27,0
70,10
62,1
1,0
20,3
81,8
80,2
22,1
24,1
64,7
65,0
66,1
12,0
79,6
37,0
27,0
15,2
64,7
77,7
74,1
10,1
81,8
74,5
36,0
8,0
35,4
85,2
95,7
0,0
18,4
64,4
59,2
68,0
10,9
80,3
75,2
31,0
12,4
68,13
69,5
7,4
3,0
56,4
77,2
63,2
3,0
8,3
63,0
76,2
59,1
0,3
13,0
82,6
66,0
22,0
18,2
69,5
62,0
63,2
11,5
84,4
39,0
29,0
11,0
70,3
76,10
11,3
27,6
89,7
86,2
0,4
7,1
36,1
86,6
93,7
0,4
14,0
69,4
53,0
70,0
7,7
63,8
78,5
53,0
4,5
10,4
86,4
49,0
22,0
18,2
73,1
87,11
2,2
10,2
82,4
99,14
0,3
9,0
42,2
86,4
89,2
0,3
17,2
75,8
64,0
63,0
12,2
83,5
35,0
31,0
13,1
68,4
77,3
79,2
8,2
65,0
75,4
63,2
9,3
13,1
86,9
90,11
0,0
16,2
70,7
61,0
78,0
13,1
83,7
70,5
37,1
12,2
67,5
82,6
88,6
10,1
84,7
80,3
45,3
9,4
35,0
83,8
96,5
0,0
15,0
72,5
80,1
86,4
10,3
83,7
82,2
40,0
11,1
66,0
86,3
87,4
10,0
85,7
81,2
45,0
7,0
21,0
89,13
100,7
12,0
90,8
76,7
21,0
20,1
76,7
84,5
59,0
12,1
85,8
64,2
23,0
15,0
75,3
51,3
75,4
7,2
69,6
77,6
59,3
0,0
11,0
87,7
77,3
28,0
20,2
74,12
66,1
30,0
35,2
87,5
96,10
4,0
49,6
75,7
72,0
0,2
7,1
65,7
74,4
60,1
0,6
10,0
91,11
96,3
0,0
16,0
68,2
87,3
78,1
9,0
68,10
74,1
38,0
10,0
67,4
85,5
90,5
10,1
86,7
81,5
47,7
9,1
33,8
88,12
96,6
8,4
45,2
78,2
78,8
49,7
22,0
89,3
91,1
10,5
29,4
77,4
83,17
0,2
13,0
87,6
83,4
14,2
27,6
76,4
75,3
50,2
12,1
86,2
72,5
25,0
17,4
73,3
89,9
63,3
6,0
69,1
79,6
57,2
1,0
14,3
88,7
70,9
19,0
21,2
74,3
65,4
59,0
12,0
88,6
49,6
27,0
13,2
71,4
87,10
11,1
40,5
89,9
95,7
19,5
40,0
73,2
78,3
49,0
17,0
89,8
97,5
20,0
26,1
77,8
84,8
49,16
80,9
84,7
121,11
29,2
90,7
103,9
0,1
47,7
80,5
78,3
43,5
18,0
91,8
95,7
39,3
32,2
81,2
79,5
9,8
0,0
49,3
83,5
78,7
1,0
0,0
58,11
85,9
39,0
0,3
35,1
88,2
107,5
0,0
55,2
77,7
69,6
27,0
27,5
88,10
95,6
0,0
41,2
75,4
74,6
7,3
0,0
57,0
76,7
63,1
16,0
34,4
85,6
99,14
0,0
47,0
73,7
72,7
29,0
22,3
86,6
94,6
13,0
37,4
76,6
74,5
11,6
11,1
87,8
90,8
21,3
24,1
74,6
80,0
49,1
11,0
83,13
115,13
23,5
84,0
94,10
0,0
36,6
78,7
78,11
3,0
12,0
87,11
96,5
0,0
23,3
81,4
76,7
39,8
6,0
83,6
83,8
44,2
0,1
16,0
87,2
89,4
41,4
31,3
76,3
73,8
15,3
6,0
82,8
79,7
46,2
0,3
24,0
86,8
93,10
0,0
37,2
78,6
74,5
62,8
15,0
88,6
91,8
20,2
25,4
79,7
78,2
48,9
9,0
87,5
75,1
50,1
0,0
21,5
88,8
90,8
0,2
0,0
36,0
86,2
98,14
0,0
49,3
79,10
55,3
1,0
16,0
90,8
99,13
1,0
39,5
83,8
82,5
19,1
14,0
93,12
120,9
8,0
95,20
94,13
9,0
14,1
66,6
93,6
84,6
5,3
66,0
82,7
69,6
10,1
38,4
92,9
117,12
15,2
96,6
97,10
0,0
27,2
90,12
61,1
8,0
6,0
88,8
89,4
54,0
5,0
20,2
94,6
103,12
6,0
78,8
80,2
61,1
5,0
13,2
95,15
117,10
42,4
88,12
106,11
63,5
86,7
116,9
4,0
66,0
82,11
33,5
7,0
27,0
90,6
116,10
33,2
88,11
101,11
90,13
68,0
81,6
10,0
84,5
81,0
43,2
9,0
41,1
87,4
122,10
20,2
90,11
103,6
9,2
61,7
84,3
60,3
4,0
5,0
83,1
91,10
20,0
17,4
81,4
83,6
49,0
5,0
89,5
85,7
58,3
5,0
10,0
93,8
95,4
18,6
18,3
83,5
82,0
48,2
7,0
84,10
84,9
24,4
13,0
81,9
77,8
62,4
8,0
88,6
79,10
40,0
12,0
75,10
73,6
20,0
39,1
87,8
109,11
9,0
83,11
98,9
22,0
19,2
80,8
84,4
52,3
7,3
92,9
83,5
60,4
0,2
13,2
90,7
99,7
19,0
22,0
80,4
87,7
49,0
6,0
76,6
85,3
58,2
0,0
16,6
89,5
100,7
0,0
24,6
82,5
85,7
40,0
8,0
83,0
87,5
52,4
0,0
18,2
89,3
100,8
0,0
29,0
82,6
83,5
37,1
4,2
83,7
85,5
46,3
0,1
16,3
86,4
90,4
1,0
5,0
34,4
85,4
104,14
8,0
79,11
89,12
0,0
19,2
80,7
79,5
42,0
8,1
79,12
69,0
27,8
0,0
66,19
74,13
3,29
44,26
63,6
94,26
16,8
97,29
107,0
19,1
79,3
58,0
5,23
24,20
76,7
60,4
9,11
24,9
88,23
109,10
31,8
81,0
94,23
11,47
73,13
104,1
13,7
87,3
86,0
22,8
30,21
84,12
19,26
67,31
68,3
29,24
44,2
66,13
36,12
24,32
82,7
51,39
21,6
59,5
82,8
82,22
22,7
93,51
82,28
8,9
82,27
49,2
7,12
18,14
77,8
68,9
21,5
29,2
82,0
86,0
0,0
10,0
69,5
76,4
85,4
8,1
55,7
71,10
47,0
5,0
25,2
80,11
95,5
0,0
37,2
68,6
74,8
15,0
10,0
79,8
89,12
0,3
23,5
71,0
77,10
3,1
8,0
72,5
75,8
54,2
0,2
18,0
79,9
87,12
0,0
29,4
70,4
77,0
37,11
72,11
70,9
64,8
2,1
59,17
74,0
31,0
1,0
31,0
86,8
105,8
0,0
55,2
78,4
65,1
15,0
30,1
90,13
90,8
0,0
45,5
75,6
71,4
7,6
0,0
56,3
78,6
67,4
5,0
4,0
91,14
65,3
33,0
5,0
38,3
86,8
102,9
0,0
58,6
75,9
57,5
13,0
38,0
85,2
102,12
20,2
83,7
87,6
17,0
29,2
69,5
72,1
42,18
80,11
69,6
71,7
7,0
60,10
85,7
34,3
8,0
34,4
82,6
110,9
0,0
55,6
75,2
69,0
11,0
27,5
87,8
102,9
0,0
43,4
76,4
73,2
3,6
3,0
52,7
78,10
35,0
0,0
31,7
88,9
105,11
12,0
89,13
102,9
11,4
85,7
82,3
37,1
12,0
68,9
82,2
77,2
3,0
65,0
70,5
62,0
11,0
42,8
81,9
106,6
5,1
58,5
72,5
69,3
1,0
8,0
63,19
48,0
36,0
6,0
38,3
79,9
110,6
5,0
58,10
71,1
40,0
6,3
31,4
85,3
104,11
5,1
80,8
83,8
48,8
0,0
14,1
81,6
93,9
17,0
31,9
72,4
76,6
4,0
1,0
48,1
78,3
72,4
0,0
6,0
61,2
74,3
71,3
2,0
11,2
80,11
110,13
14,1
88,7
88,8
16,8
18,1
78,3
77,2
45,0
6,0
75,10
75,9
25,0
12,0
77,14
62,2
12,0
40,4
85,6
107,10
21,4
80,5
92,8
0,4
4,0
35,0
84,10
97,8
3,0
49,6
69,6
79,2
34,4
25,7
83,5
94,17
0,0
35,2
69,4
80,2
32,1
9,1
82,4
78,7
50,3
0,0
20,0
83,7
95,8
8,0
2,0
36,2
84,9
109,11
9,2
83,3
81,4
49,3
5,0
23,1
84,10
95,6
3,0
38,3
72,7
80,11
0,2
15,0
85,3
93,14
0,0
18,2
79,7
80,3
40,1
3,0
78,8
81,6
49,0
0,2
14,0
85,7
93,11
0,0
21,6
79,4
79,8
39,2
5,2
84,11
81,9
17,0
11,0
77,4
79,4
55,0
3,0
84,4
73,5
50,2
3,0
5,0
85,10
83,4
18,0
15,0
78,1
77,4
49,1
6,0
63,9
77,6
49,0
1,1
7,0
83,1
82,6
44,5
1,0
19,5
87,8
93,13
0,0
34,3
78,5
72,3
13,4
11,0
88,8
81,10
0,0
23,2
77,6
74,3
48,0
11,0
87,11
115,8
6,1
63,8
71,4
66,0
9,3
15,0
84,8
71,5
37,0
11,1
64,6
67,1
78,11
27,1
83,10
97,8
3,2
41,2
69,5
78,6
2,0
5,3
58,8
72,7
72,1
0,0
9,0
66,17
56,0
38,0
9,3
40,5
81,0
113,13
14,0
86,7
95,7
0,0
4,1
31,6
85,9
106,13
6,0
83,11
86,9
18,2
14,0
73,3
78,7
52,0
11,0
84,11
114,9
1,0
63,5
75,1
65,0
12,0
34,0
88,8
105,11
13,2
86,9
86,9
18,0
20,1
76,7
78,3
48,1
10,0
85,9
70,7
26,0
17,0
67,0
77,4
62,2
12,3
82,3
83,8
33,0
11,1
63,4
94,14
28,0
26,2
83,7
96,7
0,2
3,0
39,3
85,10
88,7
1,2
53,5
78,6
67,4
19,0
28,5
85,5
96,8
24,0
42,4
74,5
79,6
9,0
0,0
58,5
78,7
68,3
4,0
7,0
67,22
49,4
38,1
2,0
39,0
85,9
105,9
1,0
58,3
78,6
69,2
8,0
5,0
69,11
89,4
36,0
8,0
40,1
83,4
111,7
1,0
60,5
77,4
66,5
16,1
35,0
86,5
102,12
6,0
80,7
81,8
51,5
0,0
18,2
86,6
92,7
29,2
36,3
73,6
76,2
12,2
8,0
81,8
82,6
50,0
0,1
27,3
81,8
95,11
0,0
36,5
75,7
75,6
16,1
14,0
87,6
83,7
17,3
21,3
75,6
77,5
43,0
9,0
80,6
76,4
54,2
0,0
14,0
86,4
92,11
0,0
22,4
77,1
81,5
42,1
9,0
79,9
79,4
56,2
0,1
19,0
88,1
99,9
15,0
24,3
75,5
82,3
44,0
11,1
88,0
87,7
26,0
16,0
74,2
78,4
59,4
9,2
87,15
66,3
33,0
13,3
76,7
84,8
77,1
4,0
67,15
85,4
39,0
4,0
41,7
89,8
116,9
5,8
61,6
83,3
74,1
15,0
32,0
91,5
108,11
13,2
91,9
94,4
23,0
13,0
77,9
84,10
8,0
7,0
66,5
79,9
58,0
2,2
7,0
85,4
81,5
55,3
