Signal1,Signal2
101,1
116,0
144,3
70,0
81,0
0,2
2,0
20,0
94,10
107,0
114,1
117,0
106,3
160,4
58,1
70,1
3,0
26,0
49,4
108,0
120,0
111,1
114,0
107,0
144,0
42,2
16,0
10,1
43,0
48,0
112,0
148,3
15,2
113,3
160,0
6,2
88,2
120,2
55,0
7,0
49,0
116,0
142,0
20,0
117,0
170,0
20,0
111,0
158,2
7,0
68,1
112,0
67,2
3,0
28,0
115,0
150,2
13,0
116,0
160,0
4,0
85,0
118,0
63,0
6,2
48,0
115,2
148,0
24,1
115,3
169,1
18,0
107,0
146,4
4,0
60,1
116,0
67,0
0,0
23,1
115,0
142,0
17,0
113,0
147,0
5,3
83,2
105,0
66,0
5,0
48,0
109,2
142,0
23,0
112,0
168,6
16,0
111,0
141,6
5,0
58,5
121,1
74,0
0,0
24,0
120,1
156,2
19,1
116,3
153,3
14,2
114,0
135,7
7,2
40,0
116,0
89,0
0,0
23,1
116,1
171,0
11,2
111,0
139,1
0,0
59,0
125,1
73,0
0,0
9,0
106,11
134,3
31,0
105,2
130,6
18,0
111,4
130,0
7,0
34,0
124,0
88,0
0,0
20,0
117,6
165,7
6,0
89,1
129,2
60,0
11,2
115,0
106,0
1,0
23,0
119,3
173,0
19,0
114,0
155,7
15,1
114,3
125,4
2,0
29,0
124,0
89,0
7,0
21,0
118,3
164,6
4,0
88,0
130,0
69,0
10,1
117,0
109,1
1,0
28,0
118,3
179,3
18,0
112,1
157,7
10,0
111,1
113,2
0,0
22,4
129,3
88,2
12,0
69,0
119,0
147,2
33,0
117,4
173,3
24,0
117,3
167,1
10,0
116,0
130,7
0,0
33,0
131,0
84,0
9,0
20,1
121,2
168,5
9,0
96,0
116,2
65,0
8,0
68,0
119,3
156,0
29,2
118,3
181,6
22,0
116,1
158,4
8,1
75,0
130,0
66,0
5,0
35,1
119,5
158,0
18,4
120,2
170,3
15,0
117,2
146,5
12,0
108,4
114,0
0,0
26,0
119,0
100,7
8,1
43,2
120,2
142,1
21,0
119,0
171,5
21,0
116,3
153,0
18,0
116,2
126,2
4,0
33,0
114,0
93,1
7,0
22,0
117,2
159,6
6,0
84,2
132,0
62,0
9,0
49,1
120,3
152,0
30,1
119,4
178,2
19,0
116,2
157,0
15,0
108,0
110,2
5,5
25,2
122,1
93,1
4,0
11,2
117,0
159,0
5,0
82,4
130,0
69,0
12,2
112,2
107,6
1,0
27,0
117,2
182,3
18,0
116,0
146,6
5,0
58,0
114,2
71,2
9,12
48,0
114,9
114,10
108,0
104,15
33,7
109,3
101,9
17,1
117,0
109,2
6,0
15,0
119,1
162,5
14,0
119,0
150,7
11,2
118,0
121,0
10,2
100,15
155,10
15,2
120,2
171,0
19,6
118,0
150,7
15,0
116,0
122,2
5,0
35,2
111,4
92,2
0,0
27,0
116,0
169,5
8,0
83,1
128,3
59,0
10,0
116,0
108,2
0,2
15,6
120,1
171,0
15,0
114,1
152,2
17,3
113,1
113,2
6,1
31,0
118,2
97,4
0,0
21,0
117,0
166,1
5,2
85,1
130,2
66,0
8,1
32,0
120,2
152,0
21,0
120,3
181,0
18,1
115,2
149,3
13,0
115,3
114,2
0,0
26,0
119,0
97,3
10,0
63,1
122,2
149,5
25,0
120,3
176,0
27,0
116,1
170,3
14,0
117,5
133,6
2,0
33,0
128,0
88,0
4,0
21,0
120,1
168,8
4,5
93,0
130,1
61,0
5,0
59,0
120,3
157,0
28,0
120,5
184,1
24,1
115,2
162,7
11,0
115,0
123,4
0,1
28,0
127,1
91,0
12,0
70,0
119,2
145,0
41,0
119,0
174,0
32,0
117,0
175,5
8,0
89,2
126,0
66,0
14,0
119,0
110,4
7,0
15,0
120,0
172,3
12,4
118,4
151,4
13,0
115,2
108,2
0,0
30,0
126,0
97,6
8,1
25,0
118,4
173,2
9,0
84,0
124,3
72,0
15,1
109,0
109,0
1,0
25,0
119,0
179,5
10,2
118,0
151,6
12,5
117,4
114,1
0,3
28,0
120,0
98,3
18,0
65,0
119,1
154,2
20,0
120,0
173,6
22,0
117,0
165,5
10,0
120,0
126,4
1,0
33,0
128,0
92,0
0,0
23,1
119,0
178,1
11,4
117,1
145,1
9,0
46,0
128,0
85,3
0,0
22,1
121,0
176,5
16,0
116,0
159,2
12,0
120,4
122,3
2,5
32,0
124,0
94,0
9,0
26,0
118,0
176,4
10,0
119,3
141,0
9,0
36,0
125,0
87,0
0,0
20,0
119,7
184,1
15,2
118,0
158,3
10,0
116,5
113,1
2,2
28,0
123,0
97,1
6,0
24,3
119,2
170,1
13,0
119,0
134,2
4,1
36,0
127,0
91,1
0,0
20,1
119,6
184,3
13,0
118,1
152,1
8,1
59,2
129,0
83,0
0,0
23,0
120,2
176,5
22,0
117,0
163,3
11,4
118,0
124,0
5,0
32,0
130,0
90,0
0,0
25,0
121,0
180,3
12,0
118,4
150,0
9,0
47,2
123,0
83,0
0,0
23,0
120,1
181,1
18,6
117,0
159,2
11,0
119,2
116,0
3,1
31,0
123,0
97,0
6,0
25,0
119,3
173,6
11,0
118,4
139,4
8,0
39,0
125,0
87,0
0,0
23,0
121,1
179,7
15,3
118,0
151,2
10,0
117,2
110,0
0,0
28,1
125,0
100,0
17,1
110,0
110,0
0,0
22,0
119,0
168,4
22,0
117,1
167,7
10,0
120,3
130,0
5,2
34,3
126,0
90,0
0,0
29,1
118,0
179,3
9,0
93,0
130,0
59,5
10,0
120,0
105,3
0,0
22,0
118,0
162,1
10,1
116,0
153,0
6,0
71,0
114,0
73,4
9,5
32,0
117,0
159,1
