Signal1,Signal2
79,2
57,12
61,18
18,16
10,21
0,11
49,18
48,5
64,0
61,16
68,9
91,6
43,17
31,24
11,16
0,20
31,7
53,12
52,0
69,4
62,3
63,13
81,11
30,12
16,20
1,14
34,20
36,9
69,0
89,4
19,17
51,9
60,7
50,17
0,13
51,3
70,11
23,20
45,9
67,10
27,25
42,9
68,11
31,24
32,15
67,10
26,21
41,7
71,2
77,15
0,13
65,1
77,2
29,15
48,16
61,10
20,18
55,13
82,0
25,20
41,13
65,8
35,21
31,7
51,1
66,15
11,23
55,5
70,12
18,30
51,7
75,10
31,30
45,7
65,16
40,35
36,13
78,13
31,31
47,9
77,7
82,23
7,18
75,0
88,6
31,21
54,21
74,7
41,24
36,36
81,4
47,24
15,27
69,2
63,20
0,24
61,3
79,11
28,34
45,8
86,3
87,21
9,16
77,2
91,9
35,24
55,18
75,8
42,26
38,31
81,6
56,25
13,25
72,2
66,20
5,21
52,0
80,10
29,29
46,8
86,10
49,31
39,13
81,9
66,27
28,7
74,1
103,9
7,20
63,9
76,18
26,30
51,17
82,7
40,25
22,11
61,9
53,26
18,24
74,1
62,21
0,23
59,6
77,17
32,30
49,11
80,20
16,28
58,5
80,15
29,29
54,9
87,10
39,35
42,13
80,17
24,32
55,9
71,12
37,32
46,13
80,15
21,31
54,7
78,11
35,33
44,12
82,11
22,32
56,6
78,13
32,30
45,11
82,16
17,28
58,7
80,13
31,30
49,7
71,14
36,36
42,9
82,3
103,14
4,16
76,2
104,6
13,20
75,0
96,4
30,24
60,17
77,6
43,26
48,30
77,0
54,27
20,24
62,0
68,9
19,22
55,8
79,7
68,11
22,0
76,11
100,19
45,18
78,18
27,25
44,20
71,23
19,58
53,3
77,20
18,31
46,0
77,16
42,33
41,12
82,16
23,30
56,11
74,15
21,25
59,0
80,11
25,31
49,7
82,9
79,25
13,16
73,20
46,36
32,12
80,14
30,29
46,11
75,18
17,29
53,6
74,12
28,33
49,11
79,16
19,30
54,0
