Signal1,Signal2
0,25
0,30
0,11
0,15
0,6
0,0
0,2
0,23
0,11
0,23
0,20
0,26
0,18
0,11
0,18
0,2
0,2
0,6
0,16
0,6
0,19
0,26
0,18
0,17
0,11
0,13
0,7
0,2
0,3
0,18
0,5
0,22
0,35
0,22
0,18
0,10
0,15
0,0
0,7
0,7
0,17
0,9
0,18
1,35
0,15
0,16
0,8
0,11
0,5
0,17
0,25
0,12
0,0
0,10
0,19
0,21
0,22
0,10
0,11
0,18
0,17
0,9
0,13
0,26
0,4
0,11
0,2
0,22
0,33
0,11
0,0
0,8
0,18
0,32
0,25
0,6
0,8
0,22
0,26
0,8
0,2
0,13
0,19
0,22
0,7
0,6
0,2
0,18
0,26
0,14
0,7
0,7
0,22
0,26
0,12
0,11
0,8
0,29
0,16
0,0
0,9
0,3
0,22
0,22
0,4
0,11
0,8
0,21
0,15
0,0
0,9
0,6
0,21
0,20
0,5
0,3
0,10
0,24
0,20
0,3
0,3
0,7
0,25
0,25
0,8
0,1
0,0
1,20
0,29
0,10
0,5
0,7
0,22
0,23
0,15
0,6
0,6
0,24
0,25
0,7
0,0
0,13
0,19
0,19
0,1
0,2
0,10
0,20
0,28
0,0
0,11
0,12
0,14
0,16
0,12
0,17
0,25
0,10
0,11
0,7
0,20
0,13
0,0
0,7
1,1
0,21
0,18
0,3
0,6
0,5
0,20
0,24
0,8
0,2
0,7
0,19
0,25
0,7
0,3
0,5
0,12
0,26
0,6
0,12
0,6
0,22
0,40
0,9
0,4
0,0
0,12
0,21
0,12
0,0
0,2
0,14
0,35
0,6
0,12
0,4
0,13
0,29
0,10
0,2
0,8
0,18
0,23
0,10
0,5
0,11
0,23
0,16
0,4
0,11
0,3
0,33
0,19
0,0
0,10
0,13
0,19
0,11
0,6
0,12
0,29
0,11
0,3
0,0
0,17
0,28
0,10
0,5
0,11
0,22
0,17
0,0
0,9
0,7
0,25
0,21
0,4
0,3
0,20
0,21
0,19
0,5
0,11
0,9
0,28
0,20
0,2
0,7
0,7
0,15
0,18
0,7
0,3
0,12
0,21
0,16
0,5
0,8
0,6
0,19
0,27
0,7
0,0
0,0
0,23
0,28
0,13
0,4
0,6
0,19
0,25
0,9
0,0
0,11
0,29
0,29
0,12
0,15
1,21
0,20
0,16
0,8
0,18
0,41
0,13
0,2
0,19
0,25
0,26
0,8
0,4
0,12
0,27
0,22
0,2
0,10
0,13
0,25
0,10
0,4
0,20
0,33
0,14
0,0
0,8
0,23
0,36
0,18
0,4
0,19
0,30
0,25
0,2
0,6
0,15
0,28
0,22
0,3
0,12
0,15
0,33
0,20
0,37
0,2
0,49
0,11
0,19
0,7
0,31
0,13
0,14
0,40
0,0
0,39
0,57
0,4
0,18
0,18
0,0
0,13
0,8
0,6
0,15
0,1
0,12
0,0
0,11
0,19
0,17
0,16
0,7
0,26
0,33
0,14
0,4
2,22
0,29
0,40
0,12
0,23
0,36
0,26
0,6
1,0
0,19
0,25
0,13
0,3
0,7
0,18
0,43
0,14
0,1
0,4
0,27
0,28
0,12
0,2
0,11
0,26
0,34
0,4
0,14
0,7
0,23
0,23
0,9
0,7
0,7
0,28
0,28
0,8
0,9
0,18
0,29
0,22
0,7
0,2
0,15
0,25
0,17
0,1
0,15
0,12
0,16
0,21
0,12
0,33
0,27
0,10
0,14
0,16
0,27
0,16
0,7
0,18
0,50
0,15
0,0
0,10
0,27
0,26
0,8
0,2
0,3
0,28
0,31
0,11
0,6
0,13
0,28
0,21
0,0
0,12
0,11
0,22
0,10
0,11
0,27
0,31
0,8
0,0
0,5
0,21
0,42
0,16
0,3
0,8
0,25
