Signal1,Signal2
128,81
167,10
125,37
247,47
121,11
319,37
63,6
29,0
20,10
95,26
0,6
125,39
211,19
126,37
200,15
145,4
123,16
62,1
166,4
119,16
120,21
318,51
32,18
123,33
130,10
171,29
93,9
13,4
162,7
125,15
54,3
178,8
125,18
113,39
333,55
20,0
124,40
308,33
351,29
124,14
98,21
234,20
0,7
58,1
179,16
98,15
113,33
314,41
26,6
124,36
300,40
22,30
63,0
235,13
156,17
117,13
133,28
323,44
41,3
124,32
253,29
149,8
129,4
23,5
91,42
80,0
222,9
94,9
126,34
115,53
162,22
96,13
110,6
221,20
5,7
40,16
195,12
0,8
12,1
151,7
123,14
58,0
197,12
86,15
125,23
352,43
27,0
125,25
309,28
300,15
122,15
118,23
331,62
22,3
128,26
301,31
325,40
125,18
108,14
326,46
27,2
125,32
319,30
108,54
126,22
74,15
196,13
16,17
126,31
323,42
93,0
127,33
209,9
147,13
120,8
21,2
155,9
121,17
78,12
216,22
0,0
46,7
161,19
100,11
106,32
347,53
70,0
124,37
161,16
154,10
109,13
81,69
343,36
27,0
123,37
302,35
91,14
130,32
0,5
59,0
124,32
173,9
108,0
49,13
0,10
54,3
126,31
132,0
54,26
130,8
37,6
78,5
129,29
125,43
164,19
96,2
15,5
132,1
125,17
51,1
185,20
94,10
111,17
338,50
21,2
126,34
304,33
364,40
116,25
111,8
218,19
5,0
46,1
181,12
91,13
108,16
312,38
20,3
123,27
295,35
269,0
125,8
44,9
106,3
126,39
6,2
42,0
124,25
204,16
145,0
125,21
49,6
178,2
119,18
116,27
321,43
34,0
125,35
292,58
0,33
131,2
224,22
141,67
92,0
24,44
193,17
70,11
123,93
324,31
28,7
130,41
287,35
174,82
128,37
100,8
206,20
9,0
29,3
182,0
124,27
111,9
220,28
0,0
47,2
186,13
86,14
124,26
314,36
39,1
127,32
308,31
179,25
117,5
0,5
95,0
126,17
273,45
182,6
123,15
108,21
338,44
34,5
124,32
301,26
42,0
126,35
49,6
105,6
127,0
299,0
20,31
130,15
2,9
86,0
128,26
24,0
55,9
124,21
182,9
107,47
125,29
57,17
198,29
7,0
34,14
208,15
39,53
106,46
363,44
59,5
123,29
193,4
101,102
117,5
47,0
195,8
119,10
130,32
322,47
50,16
125,19
27,2
64,0
126,31
189,6
93,9
127,22
222,15
167,3
117,11
123,27
310,28
41,7
124,26
285,27
114,0
129,12
11,0
149,4
124,18
51,0
191,9
126,17
121,8
235,22
0,5
58,2
189,8
117,9
23,9
150,5
124,9
23,4
143,3
126,6
4,4
38,0
124,30
231,23
136,3
125,6
20,2
291,14
124,21
103,12
332,48
26,5
128,25
