Signal1,Signal2
30,6
5,1
0,1
4,3
19,1
34,0
49,5
40,5
45,0
61,9
28,0
47,2
3,0
2,0
2,0
38,0
28,0
46,4
46,11
45,7
61,5
27,5
42,3
0,0
3,0
0,0
29,4
30,1
42,5
43,0
46,9
64,6
27,3
40,2
3,0
0,0
4,0
32,4
31,5
49,5
45,8
44,0
60,13
31,4
16,0
18,1
46,0
56,7
15,3
21,5
34,7
48,3
28,8
7,0
43,3
21,0
31,0
2,0
14,2
47,12
60,0
3,1
12,4
33,2
49,6
29,2
6,0
41,5
40,2
31,0
1,0
10,0
46,3
57,13
0,0
10,1
32,0
51,6
46,0
0,0
40,2
39,9
36,7
1,1
9,5
40,9
42,8
31,2
1,0
11,0
42,6
52,8
17,5
13,1
35,4
46,0
29,0
4,1
37,5
44,2
33,0
3,7
9,0
42,3
29,7
28,1
2,0
12,0
47,7
57,8
11,3
18,1
33,0
47,5
10,0
7,0
38,0
37,1
30,0
1,3
11,2
44,4
59,11
3,4
20,1
30,8
46,5
16,0
5,4
43,8
39,3
32,5
6,0
5,0
37,2
49,13
19,9
6,0
24,2
53,1
55,5
2,0
19,4
37,9
48,3
11,0
0,3
40,3
41,0
32,4
2,0
11,3
43,0
63,15
1,3
13,1
36,3
53,4
15,0
0,0
41,6
45,0
37,7
1,0
7,0
42,0
55,8
34,0
3,0
12,0
49,5
63,13
0,0
16,1
36,0
53,4
18,3
2,0
43,4
48,4
33,0
4,4
7,0
43,6
49,3
32,5
1,0
16,0
46,1
68,18
0,0
21,5
37,4
46,0
31,13
27,2
53,2
63,5
6,0
7,2
29,0
51,2
60,6
1,0
21,7
39,5
50,5
26,2
2,1
41,0
46,9
34,11
4,0
27,1
49,3
62,4
0,0
11,2
35,12
33,3
8,2
0,0
39,4
43,1
37,3
3,0
4,10
50,6
59,8
1,0
2,1
8,0
44,6
31,16
7,1
0,0
14,0
51,1
63,11
0,0
23,11
45,12
20,0
3,0
26,7
56,8
59,1
0,0
8,0
28,1
48,0
54,10
0,0
38,5
46,4
33,11
0,3
28,3
54,5
49,3
7,4
9,4
30,6
54,0
59,17
0,0
42,7
45,5
37,0
4,1
2,0
38,5
48,7
29,2
12,0
28,0
56,3
57,10
0,0
39,6
41,6
34,2
15,5
30,2
50,5
62,9
7,0
0,0
28,3
54,2
60,15
0,0
35,0
40,6
36,8
12,1
23,5
52,10
48,5
0,2
22,0
40,6
38,8
19,0
18,4
51,9
62,5
12,0
23,2
36,9
47,4
15,4
8,0
48,4
28,0
29,2
9,1
16,0
48,13
59,3
4,0
19,2
34,5
46,2
21,0
2,14
46,17
63,8
5,8
4,22
32,15
35,0
9,1
