Signal1,Signal2
22,152
43,5
7,363
38,140
42,154
13,321
54,27
10,151
42,332
40,135
24,153
29,239
31,245
10,154
27,129
3,347
48,49
43,154
37,278
39,215
11,154
57,116
21,347
24,58
17,152
30,165
18,340
52,151
21,145
42,376
50,64
43,153
59,204
15,313
42,131
61,143
49,319
42,231
27,152
37,126
5,322
54,92
13,154
32,231
7,260
4,153
29,52
55,187
26,154
30,146
0,303
36,0
48,150
2,255
46,29
13,151
3,149
34,248
9,153
37,34
34,329
39,141
24,154
58,301
59,197
12,153
38,121
8,353
44,79
35,153
6,210
55,78
20,152
11,62
37,262
18,154
46,141
6,330
46,20
39,154
25,223
32,262
16,154
28,146
14,327
43,74
18,151
46,165
13,319
27,147
38,154
23,308
33,196
10,152
27,81
21,351
58,118
25,153
35,223
34,272
17,155
29,147
10,323
35,88
37,154
29,112
25,328
20,150
29,152
19,294
38,198
17,151
45,65
8,367
37,152
37,150
12,284
51,161
6,151
41,26
22,301
30,149
26,152
18,305
51,151
4,150
49,56
34,286
43,154
30,147
13,297
34,102
1,149
26,89
32,290
19,154
36,142
7,336
42,10
16,151
18,201
35,253
19,154
29,148
10,351
51,89
10,147
36,106
30,347
26,145
38,154
27,292
42,193
6,153
32,0
35,256
16,153
43,119
12,326
48,71
18,152
50,145
16,313
44,152
24,152
16,292
26,165
6,151
41,46
37,307
26,151
52,150
22,334
26,128
5,151
12,0
38,234
6,154
37,26
24,338
14,133
35,154
25,266
30,206
26,146
59,89
0,380
22,143
45,153
36,288
46,191
17,152
53,80
23,384
53,106
22,151
28,212
36,281
23,154
33,142
14,358
40,130
11,149
36,11
20,324
23,139
47,154
27,295
40,215
19,146
51,117
3,368
41,76
27,154
25,281
38,195
7,152
58,4
23,250
30,151
25,151
1,357
31,31
36,153
32,260
27,254
28,152
35,132
18,379
35,62
13,147
69,148
42,298
26,152
18,151
27,307
32,179
7,149
27,32
19,314
23,153
48,149
19,324
41,171
9,146
50,81
48,289
28,153
30,147
16,313
48,132
5,148
50,70
24,318
22,152
16,151
17,318
50,119
16,145
36,23
17,371
40,144
24,153
28,265
35,225
4,151
34,22
37,341
37,143
39,153
15,270
19,225
21,151
47,120
2,368
37,87
26,154
30,277
30,190
11,152
41,103
9,332
26,99
30,154
35,312
35,182
12,149
40,88
9,365
34,152
29,154
17,304
50,197
10,149
40,79
3,370
33,152
27,154
20,324
75,164
11,149
