Signal1,Signal2
32,13
50,3
41,13
40,17
34,28
26,28
16,29
8,18
2,14
25,26
25,0
55,0
37,15
45,17
31,28
27,36
20,24
1,26
0,16
16,15
29,15
53,0
42,15
39,13
41,36
28,26
11,28
30,10
42,17
0,20
31,20
39,18
9,22
24,22
39,16
18,27
31,15
38,14
2,24
24,15
42,10
7,27
22,23
41,14
14,31
31,15
43,14
10,26
31,5
42,16
13,27
32,11
37,14
2,22
20,13
40,13
9,27
28,21
43,8
29,35
7,16
40,5
37,29
0,23
27,0
37,14
21,27
25,4
38,15
27,22
14,2
35,11
22,24
12,17
45,13
21,25
18,1
40,14
27,22
18,13
49,7
27,26
12,14
44,12
25,23
19,8
43,1
34,14
7,14
32,11
37,17
0,31
30,19
38,17
11,26
32,3
45,13
14,30
32,11
39,19
8,18
27,16
43,18
11,25
31,9
42,14
19,26
36,17
40,17
9,20
25,18
43,14
11,29
36,15
42,17
4,17
31,16
46,13
9,28
27,17
54,15
22,28
39,9
49,21
27,36
28,9
51,13
33,34
22,13
53,16
15,33
6,14
63,21
33,29
30,0
60,16
23,42
17,35
62,34
17,41
44,19
67,7
20,52
25,12
47,3
40,42
12,17
47,16
21,41
43,22
50,12
7,22
8,11
54,7
51,33
0,13
36,29
66,24
6,35
27,7
50,28
25,29
32,10
64,20
27,22
30,0
44,27
27,26
27,14
68,16
24,25
42,1
60,22
22,22
35,5
52,6
37,33
13,18
59,4
69,15
2,13
34,1
56,13
24,27
35,9
55,14
22,33
27,14
59,9
33,36
24,15
57,10
23,22
34,10
55,18
19,25
38,1
56,13
25,27
40,9
55,15
23,29
25,4
56,20
33,38
30,20
56,23
20,33
35,18
56,16
7,22
27,21
54,21
17,30
40,8
49,31
29,32
31,12
52,18
16,21
40,5
54,18
22,35
38,13
50,20
8,10
30,16
54,16
15,34
37,8
57,11
24,30
29,12
54,27
15,24
44,3
57,16
23,26
37,11
52,30
10,26
43,0
60,16
15,28
41,5
58,17
27,26
33,17
67,10
31,40
63,0
86,30
44,46
55,6
85,28
51,46
40,18
91,30
32,44
69,0
84,26
49,42
58,10
92,32
23,45
67,0
91,27
40,46
63,10
87,38
17,27
79,9
91,43
34,40
70,2
92,25
46,44
58,5
92,27
53,49
43,18
93,34
30,44
66,5
93,29
48,44
48,12
91,30
34,37
74,1
89,27
49,40
62,9
87,27
57,42
45,10
87,33
36,39
59,3
89,31
52,48
64,12
83,38
19,37
56,5
88,32
33,42
49,12
81,44
19,32
68,0
81,31
31,43
55,4
75,33
49,40
55,21
78,26
26,36
69,0
81,26
40,42
64,4
88,27
49,50
49,12
87,30
27,32
59,0
92,37
46,42
51,7
83,28
65,50
48,20
88,31
39,43
64,10
87,38
18,35
76,5
89,34
35,39
63,0
87,32
48,42
62,15
85,39
21,35
74,0
87,33
40,37
66,5
91,25
49,51
49,14
89,37
29,39
74,3
88,31
47,43
68,10
86,36
24,38
77,4
91,28
32,41
55,1
96,27
43,46
55,14
91,35
25,35
74,0
92,32
43,38
66,8
93,27
53,42
54,16
91,29
33,38
67,0
91,28
47,43
68,10
93,32
25,41
68,1
94,31
39,45
65,6
91,27
49,45
46,15
97,32
20,35
59,1
98,28
38,44
54,10
86,37
35,35
83,0
84,35
44,42
77,4
89,26
53,44
63,19
88,31
34,35
67,5
86,40
42,46
68,12
88,35
18,39
79,4
90,29
36,41
69,4
87,37
49,44
50,10
91,33
39,37
74,0
87,27
56,43
75,8
78,28
45,43
37,13
96,27
28,31
61,6
96,29
38,42
57,10
89,30
29,34
73,3
93,27
36,40
65,7
91,27
53,44
53,11
92,35
32,31
72,4
92,29
46,39
58,12
91,32
21,40
71,2
93,29
46,37
62,2
89,30
49,44
49,9
85,33
57,48
42,17
95,30
42,40
59,12
89,31
22,32
71,1
90,36
34,35
71,0
93,27
52,37
52,11
89,30
32,33
69,2
90,28
41,42
58,7
91,24
55,44
49,16
88,34
36,42
72,0
90,25
49,39
56,11
87,35
34,33
71,0
88,30
40,47
59,0
91,31
57,44
52,13
93,31
34,34
68,0
89,28
48,40
56,15
92,35
35,31
72,0
90,28
34,44
64,8
91,24
50,42
49,9
86,29
61,48
42,20
92,26
48,41
60,11
90,27
27,34
72,2
87,36
37,40
68,3
91,28
49,39
53,13
90,33
33,40
76,1
89,28
45,41
59,11
87,36
22,38
77,4
89,34
41,40
70,0
87,24
54,40
53,5
84,29
64,51
49,15
89,26
42,42
67,7
76,23
45,46
34,15
101,31
40,46
66,26
80,39
17,23
97,28
65,42
38,9
93,26
76,42
25,17
93,34
62,45
31,0
88,29
70,39
29,15
99,33
63,28
45,4
92,26
63,47
34,12
104,27
25,36
72,15
87,37
50,4
58,9
104,29
19,31
68,39
95,44
0,21
61,18
93,53
11,59
81,22
82,57
0,22
71,12
84,64
4,30
62,10
99,45
15,37
75,10
120,56
33,21
90,23
49,49
46,13
91,29
35,34
67,0
91,24
35,49
54,10
86,30
22,37
71,0
87,30
37,33
67,5
84,23
49,43
54,19
86,33
38,29
66,0
86,33
39,42
58,14
88,33
29,34
69,0
87,24
30,39
62,5
86,26
49,45
49,11
82,36
30,38
68,0
86,27
45,35
55,9
85,31
55,40
43,19
87,25
36,39
59,3
81,34
49,48
48,13
84,32
29,35
63,0
80,30
37,42
62,6
84,25
49,45
43,15
81,35
33,40
62,17
79,39
11,35
53,31
61,30
0,22
57,2
77,32
33,41
44,9
79,21
48,47
39,16
77,20
31,35
49,4
76,27
43,44
44,16
76,26
30,30
53,0
75,27
33,43
57,10
77,36
18,32
69,5
78,23
27,43
66,6
77,27
34,40
48,21
79,27
23,33
63,1
79,25
34,36
65,9
81,22
40,46
46,11
81,27
26,33
57,0
75,28
41,34
50,9
75,23
50,43
49,15
71,26
30,34
49,4
86,21
30,42
48,15
83,22
20,39
65,1
83,29
37,40
53,15
79,32
22,34
70,2
83,30
35,29
62,10
79,37
9,33
48,17
78,29
29,29
65,2
82,29
31,41
