Signal1,Signal2
36,42
41,26
65,32
52,14
66,13
50,5
32,40
10,31
8,46
18,35
42,43
54,43
53,13
68,20
53,0
50,22
19,30
1,50
5,42
32,57
49,59
50,27
68,33
51,3
56,0
12,30
48,45
57,1
20,29
46,42
65,8
13,37
35,43
70,10
14,30
30,46
37,3
20,27
31,52
53,21
7,46
21,54
44,18
8,32
18,48
49,23
16,31
28,62
40,5
22,20
6,53
46,47
27,17
19,60
47,47
23,25
26,62
41,9
25,12
35,65
38,18
15,29
30,58
42,1
9,18
12,57
45,39
21,35
24,57
31,14
9,33
13,56
46,31
33,17
14,60
40,14
14,32
33,55
41,12
4,39
22,51
42,6
23,20
10,48
42,18
23,28
29,57
47,6
15,29
27,52
43,9
23,19
37,66
34,17
15,32
30,51
34,6
14,22
23,55
35,12
8,36
20,57
19,24
10,35
22,54
30,11
4,41
6,59
37,50
18,17
23,61
49,37
9,31
14,61
39,41
9,32
8,61
41,67
22,0
0,63
32,50
34,23
5,52
25,60
15,13
9,45
17,51
38,25
15,39
20,66
34,13
4,53
9,45
39,35
28,25
0,38
32,33
39,5
5,39
27,56
44,18
7,35
45,73
34,18
11,42
30,58
36,1
10,19
27,59
46,19
8,37
29,57
31,17
13,27
31,67
41,7
29,15
13,55
42,23
16,31
27,57
34,4
14,32
31,60
42,11
8,42
20,54
51,24
16,25
24,48
47,13
1,54
25,61
42,19
8,34
41,69
30,14
31,12
16,60
21,9
2,33
19,71
61,56
0,24
8,47
44,54
17,24
18,74
81,96
28,20
6,55
21,34
59,9
38,23
27,69
50,11
8,44
22,26
21,3
11,43
17,41
52,12
16,41
46,64
30,11
12,70
32,41
31,0
0,57
16,42
26,3
42,24
47,77
37,15
16,33
36,69
21,3
4,55
0,39
44,45
55,4
6,37
27,57
36,2
19,34
45,69
41,20
10,31
30,56
43,4
2,42
13,59
49,29
23,20
21,65
32,17
14,30
24,52
42,6
22,25
41,59
49,18
8,36
21,61
39,19
25,28
30,53
42,6
24,1
11,55
50,48
22,13
19,58
46,31
31,30
26,55
42,15
8,35
13,55
49,24
7,42
17,58
46,40
18,25
32,54
47,14
15,33
37,55
40,0
19,25
27,43
49,13
4,43
37,59
42,19
13,33
31,55
45,4
20,24
37,60
46,10
8,37
24,63
37,14
12,40
39,57
37,1
18,39
30,55
44,12
9,31
25,43
49,26
15,34
35,59
43,11
6,36
23,56
48,17
13,31
32,57
41,0
20,25
40,61
48,14
6,38
28,55
43,18
9,34
23,57
49,31
13,31
30,58
48,14
4,38
39,68
38,17
10,32
34,53
44,11
3,41
28,58
44,19
11,29
38,49
39,0
12,28
29,61
45,8
29,13
20,53
43,15
17,29
31,52
41,2
18,27
32,60
36,2
24,8
6,53
43,55
35,2
9,52
23,50
39,7
26,32
18,45
37,23
12,39
16,38
38,5
26,28
34,52
39,9
31,30
14,47
43,23
14,38
18,42
40,3
20,36
16,39
27,2
34,20
10,41
40,12
40,38
1,31
40,18
26,32
17,46
29,0
36,16
5,41
38,31
42,9
7,36
33,52
40,10
10,36
35,46
44,3
16,28
36,57
40,0
17,23
33,57
44,15
8,39
19,54
30,14
17,25
28,48
45,2
21,18
25,60
45,13
5,39
25,53
32,20
15,34
31,52
43,9
35,8
7,51
48,69
35,6
5,48
30,46
36,0
27,31
15,37
47,13
13,40
22,41
36,3
16,45
30,55
38,9
22,27
15,44
38,23
10,32
13,38
45,8
23,31
34,50
41,5
21,31
8,43
34,30
36,10
5,32
33,34
38,2
11,38
33,42
39,0
8,36
22,48
42,16
10,32
31,46
44,5
28,16
27,53
41,21
14,24
32,49
43,3
16,25
28,51
45,12
6,34
31,55
42,15
12,34
32,54
42,0
13,24
27,60
43,11
11,34
34,48
39,6
11,29
35,53
44,4
17,12
31,60
45,14
11,37
35,54
45,3
14,30
25,50
40,6
15,28
19,46
41,13
10,31
29,55
32,0
23,25
29,49
35,10
7,30
4,43
43,41
25,19
16,54
46,35
27,28
25,54
45,15
0,44
25,49
48,29
8,37
14,53
49,34
18,21
24,55
37,8
23,23
20,53
64,31
15,28
25,54
45,9
23,30
31,60
45,19
14,29
28,49
41,3
6,24
13,57
47,37
24,23
