Signal1,Signal2
74,3
45,18
49,48
29,33
9,59
0,38
31,37
27,21
59,28
54,9
58,24
68,25
34,40
34,43
19,33
2,21
11,17
30,15
34,2
50,0
58,1
42,12
49,12
27,15
19,19
1,24
37,5
56,4
25,17
18,19
49,4
29,22
13,25
42,2
38,0
21,21
27,7
50,12
27,18
23,10
41,14
23,19
28,3
46,13
24,21
22,10
44,15
21,18
25,6
51,10
32,20
21,11
43,18
24,22
23,5
43,12
31,23
21,12
40,19
24,26
24,4
47,10
30,24
23,12
43,18
23,25
21,11
39,20
9,31
9,3
36,3
49,2
23,15
13,9
27,2
34,24
0,20
18,5
38,11
25,24
17,7
39,6
44,21
0,19
32,1
41,7
23,19
13,15
47,2
28,27
7,25
24,0
43,21
21,32
22,7
40,22
27,25
13,7
47,15
30,28
0,15
48,11
54,5
29,31
59,0
50,5
19,4
31,24
49,45
30,38
91,135
39,41
46,0
18,30
60,17
28,104
54,18
31,79
20,0
0,15
58,6
34,23
7,10
38,11
28,32
0,23
12,2
41,22
0,30
17,21
42,19
40,16
17,7
43,11
32,28
17,12
36,42
36,21
15,4
47,8
41,27
7,15
34,2
45,5
23,21
19,20
46,0
27,20
8,24
30,1
44,15
4,33
11,5
40,5
47,16
0,11
36,8
45,0
29,23
10,16
41,0
26,20
3,21
27,7
40,15
17,29
23,2
38,15
19,24
18,7
43,4
41,25
0,17
32,3
55,0
26,20
11,17
48,0
28,24
5,21
32,12
33,23
0,25
17,0
39,18
27,26
20,2
42,11
34,26
10,7
40,5
49,13
1,27
28,0
48,0
31,24
5,17
37,1
45,17
20,30
23,2
41,19
18,34
14,3
39,22
29,26
11,6
39,9
49,21
0,23
30,5
44,5
24,29
13,23
50,3
38,27
2,25
27,3
40,16
20,26
12,0
46,13
25,27
14,6
47,7
39,28
1,17
31,0
45,4
28,22
13,17
43,4
28,27
6,22
30,0
40,23
19,29
23,0
45,15
26,23
21,11
38,22
19,26
26,7
42,21
36,22
13,4
50,8
43,24
0,19
40,6
50,6
28,21
13,13
46,2
24,30
12,22
49,5
32,26
0,30
22,4
42,16
20,30
21,6
44,12
35,25
10,9
43,3
42,29
2,21
29,2
44,5
35,14
10,22
43,0
36,22
0,22
27,5
46,19
30,25
24,5
42,17
35,19
16,2
41,11
31,32
7,6
29,0
49,3
31,23
27,25
39,0
26,26
5,24
27,4
40,21
23,30
23,0
45,18
28,28
12,9
45,12
25,30
15,11
43,17
29,23
14,7
40,14
27,29
13,9
44,10
34,32
6,14
37,0
50,14
10,20
36,4
49,8
30,28
18,14
46,0
28,29
0,25
21,5
47,14
14,29
22,5
32,27
28,31
15,7
52,14
29,27
10,7
40,10
37,34
3,16
37,0
49,20
19,11
33,5
51,10
24,15
27,2
45,7
26,28
11,22
47,0
33,24
0,30
29,0
41,23
24,30
19,3
46,14
23,31
13,5
44,7
62,6
14,21
31,5
49,4
30,24
8,18
32,2
43,24
11,36
28,3
41,24
23,26
23,0
40,26
27,29
15,6
45,10
26,32
18,19
46,17
28,29
16,4
43,12
29,34
12,14
43,17
32,26
14,6
50,1
43,28
0,23
21,0
49,8
27,21
14,20
44,0
31,28
3,23
32,2
42,17
23,27
15,4
44,22
25,26
14,9
47,10
37,25
14,11
36,19
27,25
16,5
44,9
50,24
0,19
30,0
52,5
23,22
16,14
54,0
31,23
8,23
26,2
41,24
15,32
23,1
46,18
31,22
18,6
44,15
35,29
9,7
38,0
49,9
24,22
20,12
46,3
28,28
11,19
45,0
27,29
4,22
27,1
39,24
21,31
18,1
40,20
28,29
7,6
35,4
49,12
16,20
25,0
46,6
28,26
9,16
37,1
36,28
7,34
20,5
47,9
37,30
0,23
41,4
52,1
22,25
13,12
49,3
33,26
8,20
28,0
34,21
14,32
33,10
40,18
8,41
23,7
45,15
30,26
13,7
43,6
38,32
2,18
28,0
47,6
28,26
12,18
46,0
35,27
3,27
25,0
45,16
27,27
14,7
54,18
30,26
15,6
42,12
37,29
9,10
36,12
36,32
3,17
32,7
52,6
40,12
17,12
49,8
35,18
9,15
32,0
41,19
11,34
24,25
36,24
0,23
29,6
36,21
27,29
14,3
45,6
41,28
0,20
33,3
41,16
21,22
24,0
41,3
29,28
5,20
28,0
40,20
19,32
21,0
49,12
34,23
17,6
47,13
30,25
14,8
44,8
49,19
0,17
27,1
45,4
29,26
11,20
45,0
33,29
1,24
25,1
34,27
24,29
23,3
45,17
33,31
13,8
43,10
36,30
14,16
38,23
37,29
14,8
45,9
47,22
3,20
30,6
49,0
24,22
9,23
28,0
35,26
8,33
9,2
35,0
54,7
24,20
25,9
39,0
27,32
0,26
19,3
40,21
24,26
16,10
37,24
18,28
20,5
42,21
17,26
20,6
40,18
27,26
12,10
38,19
25,27
14,4
50,10
30,23
11,11
40,23
22,33
8,2
38,1
50,18
5,27
23,7
42,0
40,22
0,29
26,7
39,21
23,31
17,0
44,12
33,27
7,5
34,2
52,10
21,14
21,0
54,0
27,23
12,19
46,0
31,23
11,27
35,2
27,28
0,29
28,9
44,17
25,28
14,7
40,8
39,29
0,19
29,3
48,2
27,21
7,8
19,3
40,22
27,23
19,4
41,13
27,28
8,9
34,0
50,9
20,23
13,13
49,2
25,27
9,18
26,0
39,22
7,33
17,9
42,2
38,26
0,20
30,0
47,7
24,24
13,22
47,0
27,28
7,27
30,2
36,19
24,26
28,2
40,20
30,25
17,7
47,6
43,22
1,22
33,1
45,9
38,15
10,12
45,3
37,26
19,30
39,0
31,29
0,26
17,4
37,21
28,24
17,2
45,15
24,32
19,13
46,14
25,29
16,4
42,14
29,25
16,13
32,20
23,29
16,6
42,11
25,28
13,7
41,11
34,26
2,11
39,0
52,13
5,18
19,5
40,0
31,24
3,26
34,5
38,20
19,27
19,0
47,14
30,23
12,8
40,8
48,25
0,14
30,0
49,1
22,25
17,24
46,0
28,31
14,28
34,0
40,12
0,25
23,0
43,18
26,24
21,9
44,6
38,28
1,18
24,0
48,7
23,20
23,19
47,1
28,26
8,23
27,0
32,15
20,24
19,0
39,14
30,26
16,3
45,15
25,28
18,13
41,17
28,21
13,8
40,14
27,28
16,10
42,17
26,21
13,5
43,13
28,27
11,8
44,5
48,20
0,25
27,2
46,0
25,25
13,30
36,1
31,24
0,25
23,4
44,11
27,23
13,3
44,16
28,26
12,9
41,9
47,18
0,18
36,1
48,2
27,21
12,20
45,1
29,25
3,25
21,1
45,18
21,27
19,9
42,14
26,23
10,6
42,6
35,31
0,20
31,1
48,0
25,20
15,22
39,3
32,18
11,22
36,1
32,18
0,28
21,0
44,14
25,22
12,0
45,11
31,24
11,7
40,8
48,19
0,19
25,1
48,0
22,27
13,19
45,0
30,22
4,23
35,9
40,12
11,30
17,3
43,12
26,26
12,9
47,0
55,15
4,26
35,2
48,15
18,22
17,3
42,3
26,20
6,17
25,0
45,19
14,28
7,4
31,7
42,32
0,14
34,17
49,1
43,9
0,13
12,13
29,55
29,23
75,8
3,12
28,97
34,0
34,23
13,9
18,0
43,0
33,42
13,103
83,20
28,35
23,0
12,32
58,19
0,9
22,6
49,6
48,30
0,42
17,9
30,34
24,23
18,13
41,17
21,26
28,6
41,18
31,24
15,14
30,21
25,22
25,8
41,10
28,24
9,7
31,0
47,9
15,19
16,6
32,0
37,15
0,22
25,6
39,13
27,23
17,10
39,18
11,28
21,2
37,15
24,22
15,4
46,11
31,25
8,10
42,3
49,38
0,29
23,3
43,2
26,29
8,16
19,1
37,23
14,27
29,15
34,21
3,8
5,14
35,5
54,10
7,21
16,1
33,3
29,27
5,28
29,5
36,22
18,25
10,0
42,17
29,24
17,8
48,1
36,22
0,14
24,2
49,0
28,23
16,18
45,1
27,27
8,25
21,13
37,19
0,28
18,0
41,17
34,17
10,4
41,13
29,35
7,7
38,3
49,7
22,19
15,17
42,0
29,20
12,23
37,0
32,29
0,27
23,6
39,18
22,26
19,6
38,11
29,25
13,5
45,4
39,27
0,21
27,2
48,4
27,27
17,20
41,2
27,27
0,26
27,0
38,21
29,23
17,1
45,10
26,25
16,7
42,8
39,23
0,19
29,4
48,7
25,21
13,15
49,2
42,16
7,19
26,0
40,19
20,24
21,4
37,19
24,21
9,6
36,3
52,8
20,17
29,9
46,2
34,21
0,25
23,4
43,17
26,21
21,4
42,11
24,22
16,10
44,14
24,22
15,5
46,10
25,26
14,7
43,5
42,21
0,17
32,3
48,0
26,21
13,16
41,0
20,22
8,27
24,2
38,17
19,21
23,3
39,14
23,24
11,3
42,7
41,22
8,7
16,2
38,0
34,17
3,23
26,5
39,18
20,24
14,4
45,8
38,26
1,16
34,19
48,14
0,9
23,13
49,1
26,20
10,18
42,0
34,22
7,23
16,0
42,19
26,22
22,5
41,13
24,28
