Signal1,Signal2
31,68
19,70
0,78
10,82
19,79
26,93
39,42
55,10
15,67
52,71
62,0
15,59
35,72
59,2
21,62
25,80
43,19
20,69
33,71
49,3
27,61
26,85
39,18
16,64
21,82
44,13
15,68
32,68
53,0
22,61
26,82
42,10
15,62
31,74
54,7
22,60
24,81
44,20
20,60
35,76
46,8
25,57
26,89
46,22
18,60
27,78
45,12
13,68
37,70
51,0
20,55
27,82
44,17
8,72
15,93
41,32
24,53
24,88
45,24
20,61
32,79
46,10
12,70
35,71
54,1
19,60
23,77
48,19
17,70
34,73
50,5
21,61
28,84
41,19
22,64
24,78
49,13
14,68
37,67
54,0
21,59
24,80
43,13
19,64
32,72
53,11
16,68
33,61
59,7
19,63
27,78
47,9
29,56
21,86
41,27
21,53
24,80
43,13
12,63
34,73
53,1
24,59
27,78
45,17
21,63
29,76
53,14
14,65
33,69
59,0
21,60
25,75
48,20
17,65
35,69
58,3
29,52
21,80
46,22
11,63
27,69
50,8
25,59
29,92
48,26
19,61
29,80
52,21
8,67
22,85
48,29
31,48
27,72
49,21
31,57
37,71
56,10
19,65
33,62
63,0
25,62
21,70
43,7
25,58
25,80
39,18
16,57
26,70
40,0
27,45
26,86
46,32
23,54
27,77
50,23
25,58
33,77
55,12
20,64
35,67
63,3
29,57
18,71
42,13
29,63
25,73
54,0
20,60
20,78
38,9
34,48
15,94
43,34
29,54
24,86
48,27
21,62
27,84
45,11
9,71
17,83
46,28
28,50
21,74
50,19
29,61
37,79
52,12
22,68
38,72
61,8
28,60
21,79
50,12
10,69
31,65
59,3
23,65
26,77
40,14
28,66
27,73
54,4
31,50
19,88
52,21
22,64
21,72
43,14
23,65
36,75
58,3
31,60
18,82
49,16
14,69
26,64
52,8
22,63
26,82
39,21
29,62
32,80
40,2
40,42
12,87
44,26
3,74
0,92
33,57
31,20
5,94
30,98
34,11
15,55
56,100
42,41
3,91
43,62
41,27
13,85
52,58
37,42
1,88
40,91
42,28
0,89
15,92
46,1
19,77
2,94
38,23
33,69
11,88
30,15
37,71
0,102
35,1
45,57
16,88
38,21
33,68
12,86
33,12
37,75
3,92
18,16
47,63
28,80
28,0
53,46
29,75
32,19
44,62
33,73
23,16
45,67
19,85
27,0
51,54
33,78
25,12
35,68
25,71
26,7
45,55
26,68
21,18
55,56
26,85
25,3
53,46
29,76
30,22
47,55
34,78
19,17
40,69
15,84
23,0
53,50
28,77
26,14
44,61
35,76
26,11
38,71
23,84
22,0
53,51
32,77
29,9
63,35
23,77
29,27
44,59
35,69
21,21
53,64
29,82
23,7
59,51
27,80
30,21
46,57
39,74
27,16
44,70
20,81
23,3
55,50
28,78
18,4
72,29
15,73
31,27
46,47
36,68
31,26
50,53
30,72
19,9
63,41
26,76
29,17
48,47
37,68
29,21
49,66
26,78
17,4
55,51
25,73
28,15
48,51
38,72
30,13
47,62
22,77
20,5
57,52
27,74
22,15
49,56
37,79
28,9
52,49
44,61
34,22
51,58
26,66
20,10
48,55
30,78
30,3
50,46
35,70
28,19
47,65
29,73
17,11
46,64
17,85
32,0
46,53
38,71
29,11
37,69
25,70
19,5
46,55
25,68
19,8
63,38
12,70
23,18
50,45
36,69
31,23
41,60
30,62
19,8
53,49
19,66
22,19
49,48
27,78
34,16
37,63
34,73
21,3
43,59
27,66
19,13
49,57
30,74
28,15
36,65
31,89
23,10
22,74
8,82
19,20
35,59
16,87
32,8
59,40
32,77
33,18
26,73
35,69
8,5
47,13
40,58
7,14
31,0
49,40
8,76
26,47
43,28
5,80
50,75
18,20
17,76
41,55
39,35
8,75
26,43
70,0
27,63
0,82
20,4
51,47
18,73
33,17
36,54
26,62
22,12
42,61
19,73
21,1
49,53
18,70
24,8
62,30
24,65
30,23
43,47
27,63
26,22
49,54
21,70
16,6
58,37
23,67
25,16
43,49
33,69
23,15
41,61
20,70
21,4
51,48
22,67
25,13
41,54
31,70
26,5
50,42
24,59
32,24
45,51
14,71
23,9
60,32
10,66
29,21
42,42
25,67
30,17
41,58
21,68
16,6
61,39
16,64
24,20
47,47
31,66
25,13
41,61
27,65
23,8
49,51
23,71
22,12
41,52
32,69
26,14
37,65
27,70
20,0
43,52
27,66
19,15
47,51
33,70
24,5
49,45
29,67
33,21
40,55
25,67
16,10
42,58
23,77
26,0
47,46
30,66
27,11
35,59
26,62
18,6
46,48
24,66
18,13
48,51
28,71
31,7
56,37
23,63
33,23
42,51
19,62
20,10
45,53
25,71
27,0
52,48
26,66
26,10
37,59
25,61
21,7
58,44
16,58
23,15
47,51
19,72
31,9
47,35
19,63
33,20
44,50
23,62
19,13
52,47
18,70
21,1
63,34
25,61
29,20
38,53
28,61
22,15
47,56
26,69
19,1
53,38
27,69
25,14
42,54
35,62
26,11
38,62
19,72
20,3
50,49
26,68
23,12
40,52
32,62
22,5
43,46
32,60
28,20
48,54
26,66
22,4
60,33
19,66
23,18
44,44
32,58
25,14
41,59
21,72
22,5
50,44
25,64
22,10
45,48
33,66
25,8
56,36
29,58
25,28
48,47
24,66
25,8
53,30
15,64
24,24
46,39
35,62
26,20
45,51
25,66
16,7
61,39
20,66
24,22
49,44
31,66
29,17
39,58
26,65
20,10
44,62
21,77
29,0
46,51
32,72
25,12
37,60
30,70
19,5
46,44
25,61
22,15
48,54
33,69
26,9
51,44
33,66
30,25
42,55
25,65
16,12
45,58
26,70
28,4
50,45
26,68
29,12
39,58
32,67
22,9
52,46
31,59
20,20
48,48
24,68
29,10
38,59
34,67
23,8
42,46
24,58
28,19
47,53
27,75
24,5
59,35
26,66
34,20
42,54
31,62
26,13
43,59
23,75
22,3
51,45
23,68
28,18
41,50
34,63
26,11
43,68
20,71
22,0
50,49
23,68
28,13
38,57
31,69
30,11
38,66
13,71
25,0
49,49
25,69
21,11
42,59
24,76
31,3
45,53
33,64
30,17
45,62
23,74
26,3
52,49
25,68
25,14
44,55
34,70
28,12
40,62
20,75
24,0
50,54
28,69
25,11
44,54
32,76
27,6
47,50
29,59
28,18
46,56
25,67
23,7
57,40
16,67
25,15
45,49
31,63
26,14
37,61
23,69
22,7
51,48
24,66
24,15
47,51
28,73
34,9
54,43
30,67
33,23
51,53
24,67
21,9
73,36
11,68
29,20
55,39
32,66
35,16
39,57
19,63
25,2
50,48
10,64
29,8
48,29
17,55
51,31
56,43
10,57
35,14
40,56
9,61
0,15
39,8
27,50
18,65
37,0
29,44
0,71
27,40
20,37
0,69
16,63
33,19
19,64
34,60
49,8
17,71
6,67
25,1
40,52
11,68
31,3
61,30
6,59
29,37
51,19
22,61
36,9
37,4
31,50
16,68
35,5
35,45
0,74
27,49
20,43
0,74
8,63
28,0
36,58
15,55
27,6
44,46
2,63
26,46
53,17
13,64
60,56
54,21
38,62
45,32
55,40
24,60
25,26
50,47
20,69
26,9
69,27
7,70
14,45
54,9
27,64
14,61
37,2
37,48
7,75
32,41
41,41
8,70
38,76
48,11
18,79
36,45
34,39
14,76
36,36
39,45
2,75
11,49
54,30
10,79
32,37
34,37
14,71
35,27
35,49
0,76
36,50
41,34
10,76
34,33
35,40
12,73
37,24
34,52
0,69
34,48
42,45
8,75
29,71
49,33
17,78
35,48
37,34
15,73
36,42
41,43
5,72
47,59
48,26
13,76
28,37
39,37
16,77
36,39
36,45
0,70
27,48
45,38
5,77
11,103
40,40
10,76
32,25
31,50
0,71
40,47
40,36
11,71
33,31
43,39
3,76
24,46
53,30
18,72
38,42
38,42
12,73
34,30
47,43
0,72
31,44
49,32
19,75
42,32
39,42
8,68
42,56
54,31
21,74
35,39
45,34
13,75
43,30
41,44
4,66
36,43
50,39
22,73
34,31
58,38
7,79
49,59
57,28
30,74
42,42
42,38
15,69
37,32
48,43
0,72
30,44
49,31
15,75
35,32
38,40
11,69
43,37
44,51
1,60
34,38
49,33
9,73
37,77
48,0
30,66
15,64
37,2
23,77
11,63
19,5
35,91
35,74
15,0
45,52
29,70
28,10
46,52
33,69
30,10
45,59
23,73
19,2
48,50
23,63
24,11
45,52
36,65
30,10
34,67
16,67
23,4
44,53
26,64
19,10
48,55
28,75
27,6
46,46
30,64
33,17
44,57
27,64
20,8
54,45
25,65
22,15
46,46
29,66
28,10
38,64
27,70
20,4
47,51
24,67
23,12
47,51
29,70
25,6
50,42
30,65
29,25
45,54
23,61
22,8
55,39
13,62
22,21
48,44
28,64
31,15
44,54
24,62
22,10
41,58
17,76
27,3
51,49
24,70
30,14
38,57
29,70
29,12
39,62
13,75
21,0
48,54
30,70
25,8
55,34
23,64
30,19
42,50
28,63
25,12
47,59
24,75
24,2
52,43
28,67
28,18
44,51
31,61
25,9
50,45
24,57
25,21
52,45
23,67
26,8
60,31
14,66
37,26
43,47
29,62
26,24
45,52
21,69
23,9
64,34
14,68
26,20
39,49
31,63
31,17
41,58
23,73
21,0
53,45
22,68
26,17
46,48
33,64
33,17
40,61
20,69
22,4
49,49
23,65
25,15
45,51
31,71
30,10
34,69
18,70
25,3
46,51
20,69
19,9
61,42
12,70
31,21
41,49
29,66
30,18
43,59
22,68
21,6
54,38
17,66
27,16
49,46
26,69
31,13
40,63
26,70
19,4
51,46
16,68
26,16
47,53
29,69
29,7
49,40
23,60
33,24
43,51
20,65
21,14
46,54
26,78
28,2
50,42
28,65
30,18
39,62
23,64
20,9
51,46
15,66
26,19
50,48
24,72
33,11
37,61
28,64
22,3
43,49
23,62
23,16
46,52
21,71
27,2
58,34
19,69
31,22
43,49
24,65
26,14
47,55
22,74
23,2
52,43
23,71
33,20
40,54
27,66
26,14
41,66
16,76
24,4
50,47
24,70
29,10
40,60
30,69
29,10
36,68
13,77
18,0
47,56
19,68
25,5
58,36
9,67
15,48
53,17
49,45
63,57
53,30
16,61
28,32
53,41
24,67
26,16
44,48
32,62
31,13
39,63
26,63
19,0
48,51
18,72
24,11
42,52
31,70
26,7
49,44
24,59
29,23
45,51
16,65
15,5
67,35
12,65
