Signal1,Signal2
41,48
27,0
9,12
70,32
44,23
118,46
118,36
130,62
135,34
65,9
98,15
2,1
3,17
38,24
118,41
140,31
120,46
51,4
3,12
101,31
71,5
11,17
113,39
62,7
3,11
101,24
67,6
5,8
29,11
117,40
25,5
74,23
128,81
5,2
34,15
119,43
33,0
81,34
128,55
0,1
32,13
120,43
28,0
76,10
91,23
48,3
44,22
120,40
21,5
71,64
122,24
0,11
84,32
122,42
4,13
107,23
63,9
0,2
48,20
121,45
25,0
25,0
118,43
59,15
100,28
77,12
8,6
167,38
95,7
23,9
42,13
122,44
31,4
128,47
87,7
27,2
48,22
123,46
22,1
29,18
127,59
0,10
95,24
123,30
9,5
37,9
122,41
52,1
56,28
123,46
16,8
128,31
86,11
0,12
96,30
121,30
16,13
116,35
14,12
109,38
149,38
42,13
121,49
25,3
0,3
117,52
139,31
102,35
76,4
29,0
120,23
96,15
4,8
48,11
122,40
21,11
106,35
59,0
0,5
45,16
124,44
21,8
48,25
127,59
0,7
48,27
123,44
21,5
9,10
120,41
66,2
50,20
123,51
20,8
90,21
114,28
0,12
97,33
119,29
23,21
120,37
16,17
109,48
152,42
42,16
121,52
24,1
49,5
119,41
72,15
76,35
122,45
4,6
45,10
119,48
0,7
44,13
121,41
22,6
162,40
89,12
0,11
109,29
72,8
20,15
104,28
61,2
0,13
89,27
123,34
13,14
118,31
89,13
92,28
168,36
9,9
100,45
133,28
20,13
116,42
49,1
37,12
117,41
27,0
68,60
108,27
0,11
88,25
119,45
6,13
104,37
67,3
3,1
36,7
117,42
100,11
97,28
99,14
2,14
98,34
121,40
8,12
101,26
66,3
1,12
115,35
81,10
12,12
133,33
24,30
117,41
103,28
17,14
121,45
22,8
89,48
132,77
10,18
102,42
58,1
0,4
62,41
115,39
7,18
48,38
103,40
13,24
90,11
63,0
0,18
120,16
87,0
24,53
133,17
69,3
13,20
138,73
55,26
88,79
109,34
29,6
91,48
179,78
11,8
110,44
138,48
66,6
113,47
54,28
74,40
102,29
6,3
48,25
124,27
0,14
91,51
119,43
0,2
76,22
128,84
3,4
32,15
120,44
23,2
65,17
130,66
11,4
27,28
117,45
2,9
82,20
88,23
58,3
28,12
121,47
25,2
73,65
100,22
1,8
44,15
121,50
15,5
77,28
129,45
4,15
61,25
123,40
9,6
0,6
117,45
133,29
86,31
124,37
13,23
126,30
24,3
46,31
132,24
11,2
88,52
148,44
0,4
49,37
122,19
0,0
7,11
107,40
56,0
17,25
138,44
40,0
20,17
121,38
103,20
115,46
119,33
39,27
115,45
5,13
92,35
108,11
52,22
130,30
13,0
78,46
149,41
2,2
56,40
130,38
40,21
114,48
147,29
81,29
128,108
27,1
127,41
54,4
0,7
81,35
118,59
10,14
101,34
45,1
0,8
75,25
125,5
7,6
13,6
115,37
135,24
90,37
123,39
12,10
102,30
58,8
14,25
120,24
37,13
101,41
139,32
44,42
125,37
103,2
98,35
119,22
39,23
116,22
59,4
67,24
124,37
0,7
17,15
122,28
14,18
107,60
144,40
44,20
120,41
18,4
68,14
130,62
0,11
55,29
124,50
5,12
102,33
57,4
0,11
98,27
122,39
15,13
122,28
19,33
88,27
124,6
2,9
8,14
97,16
95,4
0,12
48,24
122,46
13,10
106,25
59,5
5,18
94,15
121,35
18,22
125,33
100,19
114,50
128,29
88,37
115,44
6,19
102,29
55,0
0,11
132,39
80,2
12,0
75,84
123,38
0,13
81,29
119,23
17,17
121,31
33,17
91,33
173,55
11,12
107,39
96,15
78,17
122,0
23,6
26,18
106,2
83,6
14,11
112,38
26,7
38,13
112,34
13,9
84,29
124,68
0,9
29,14
109,33
19,18
115,39
59,0
0,6
35,16
107,36
27,3
90,36
87,25
48,7
48,25
118,42
9,7
17,14
110,35
29,13
106,30
77,2
24,2
73,33
129,44
12,24
115,43
42,9
30,30
129,27
21,20
64,32
156,33
15,13
118,45
89,15
63,19
122,5
13,9
33,10
113,37
14,10
103,41
54,0
0,11
79,14
118,30
6,17
99,22
100,21
38,30
124,38
0,0
4,14
105,35
56,0
0,10
89,35
110,35
9,21
102,25
53,9
4,21
123,33
76,1
8,14
68,43
124,39
2,17
63,26
118,51
14,17
120,52
21,43
85,45
154,37
11,5
111,47
135,30
75,24
124,0
18,14
69,47
103,30
7,13
101,32
53,0
0,11
85,33
112,35
8,16
109,33
54,0
0,10
50,9
111,31
16,4
80,28
125,44
1,14
58,32
110,29
0,10
102,26
50,0
1,21
111,29
73,5
11,9
72,53
117,32
2,15
68,30
117,35
17,18
114,30
30,27
89,46
168,48
10,10
114,36
93,16
60,11
120,6
49,1
35,12
111,33
24,0
75,28
122,25
0,13
87,36
116,33
1,7
78,27
125,56
0,10
54,14
117,35
3,17
94,26
105,14
42,23
122,34
23,0
75,39
136,37
0,3
47,23
122,29
8,12
77,34
135,35
0,13
127,62
104,21
24,16
115,36
46,6
70,28
119,99
5,10
49,0
111,37
40,6
67,28
121,17
4,10
48,33
105,29
8,13
95,27
102,15
28,25
110,30
0,21
67,35
116,26
0,6
25,17
111,28
0,16
67,37
119,22
4,11
67,16
168,41
3,15
103,49
134,24
50,26
116,40
11,12
97,25
75,4
15,8
61,23
116,37
6,18
84,17
123,40
12,18
113,26
35,2
20,14
108,30
61,0
62,32
123,22
0,10
98,39
79,18
31,0
62,38
121,33
0,5
