Signal1,Signal2
13,7
88,31
100,24
117,29
136,24
121,25
150,27
55,0
49,2
10,9
34,19
46,10
122,18
0,8
58,17
124,47
7,3
33,13
119,33
18,10
105,21
64,4
0,0
60,14
123,52
6,7
34,11
120,29
20,3
49,15
117,31
0,6
58,15
126,58
7,3
38,8
116,33
100,0
34,15
118,35
0,8
64,9
115,27
56,3
35,9
115,28
101,2
33,5
119,28
35,2
70,19
129,58
10,0
79,25
120,5
16,6
47,1
120,39
32,5
67,13
128,41
3,3
36,15
122,31
15,10
106,22
60,6
1,7
68,13
120,22
1,7
31,4
116,39
96,31
108,25
86,6
20,9
81,21
107,25
15,21
131,31
39,2
22,16
125,32
52,0
69,33
145,39
5,12
115,43
133,27
38,12
121,38
8,12
138,34
89,0
27,7
81,23
124,50
0,8
44,16
123,48
10,12
128,38
56,6
7,13
114,29
64,0
9,17
86,32
121,33
21,15
133,28
87,13
112,53
151,23
55,19
124,49
0,14
68,14
121,37
20,12
134,36
31,9
53,27
132,23
0,11
107,37
124,15
33,11
123,36
32,2
79,30
127,32
8,17
143,44
78,9
15,0
57,20
123,27
6,11
120,34
66,1
5,12
125,34
77,7
2,16
49,16
120,33
19,22
136,35
37,0
36,19
141,31
10,9
97,44
171,21
2,9
72,25
143,35
0,14
121,52
130,29
37,19
120,39
8,8
25,11
123,46
48,6
42,18
124,41
0,15
108,24
82,2
7,7
26,18
123,43
61,1
54,24
124,23
8,22
108,19
78,1
9,14
14,0
124,48
52,9
47,20
125,100
24,18
138,38
11,5
91,38
157,38
10,12
122,46
137,29
125,27
75,5
0,8
33,23
119,35
13,5
83,11
106,26
0,15
118,25
76,4
0,15
105,30
85,13
8,14
101,23
63,5
2,9
52,19
124,40
8,2
34,16
120,41
17,6
70,38
127,40
0,0
51,22
125,40
2,6
34,15
120,39
19,7
81,15
129,39
0,9
57,28
125,42
0,14
49,2
122,39
13,2
85,66
130,54
0,7
48,26
124,37
0,12
50,15
123,36
4,8
77,66
130,56
0,8
36,16
124,42
0,11
61,36
123,38
1,8
81,63
130,49
0,8
48,12
125,45
3,7
40,18
119,34
11,13
119,27
61,8
0,20
115,32
78,11
24,18
128,24
0,0
11,20
154,39
38,8
48,34
137,38
6,3
37,50
153,40
19,7
92,44
167,34
16,4
124,65
151,23
40,7
121,38
113,37
119,31
57,15
62,39
144,44
0,6
50,15
142,27
3,16
111,37
128,13
17,10
119,10
50,0
53,23
128,42
0,8
32,7
115,41
123,35
111,30
62,8
2,4
53,30
124,72
13,15
128,29
58,0
10,16
135,26
0,14
63,25
143,34
0,10
108,80
132,19
23,10
122,43
22,1
79,21
96,16
48,12
134,37
78,0
5,5
24,11
121,30
18,7
79,24
106,30
61,19
124,27
45,2
11,12
112,34
71,3
80,31
147,20
2,9
42,35
167,43
4,10
106,39
139,26
26,7
119,40
122,17
115,31
72,4
21,15
112,12
60,7
13,7
121,27
67,0
2,0
79,28
126,18
3,9
28,8
119,41
108,12
123,45
66,4
14,14
130,32
36,3
25,21
149,31
0,3
29,15
138,29
56,0
67,29
145,26
0,8
26,18
137,31
29,4
94,40
154,42
2,5
72,40
112,29
26,10
117,32
158,33
54,28
124,38
1,0
70,50
131,52
0,7
49,22
124,39
5,4
29,16
121,41
13,11
102,30
71,4
0,8
63,23
125,39
9,6
35,15
125,45
15,15
116,32
63,6
11,0
104,32
88,17
10,15
132,34
0,5
5,13
123,40
64,6
1,6
52,16
124,40
1,19
104,38
81,6
18,0
55,5
123,37
48,19
132,38
85,8
0,13
109,29
88,9
2,18
50,0
120,39
49,1
56,19
127,48
10,16
127,41
56,2
3,5
8,0
120,43
126,13
119,29
75,4
0,9
46,11
123,43
12,0
12,0
122,36
51,0
54,18
125,107
31,16
131,32
24,7
99,49
144,30
2,5
55,22
139,34
0,3
20,19
137,27
10,8
93,47
147,34
0,4
58,28
146,34
0,4
21,12
137,34
7,6
14,15
136,21
0,16
63,36
133,28
0,0
19,13
127,27
3,8
7,3
125,32
92,13
0,7
70,20
125,50
0,11
50,20
125,39
14,5
115,31
64,0
0,12
116,30
74,4
15,14
122,33
55,0
11,5
114,34
75,9
0,5
76,24
126,26
0,3
48,11
124,46
13,16
116,33
68,7
18,16
125,38
40,0
28,24
140,28
0,8
13,19
146,41
89,15
106,60
164,38
55,11
126,39
2,12
83,23
120,31
0,6
70,31
124,28
0,2
55,14
126,36
0,7
30,16
119,33
19,5
81,16
127,40
0,8
56,13
126,42
0,7
24,10
119,35
14,7
75,16
127,42
0,4
57,19
