Signal1,Signal2
13,0
21,2
25,0
26,2
29,3
17,7
11,6
8,7
3,3
0,0
12,0
12,0
19,0
15,0
27,3
27,3
18,0
17,4
9,0
5,0
0,1
12,4
15,0
20,0
10,0
24,0
29,0
15,0
15,6
7,0
4,1
0,0
10,1
13,1
20,2
8,0
24,0
26,0
19,0
14,0
9,0
6,2
0,3
5,1
11,0
20,0
21,0
22,5
14,5
9,0
18,0
26,0
23,3
0,0
6,0
18,2
27,4
8,2
7,0
0,0
18,0
20,0
18,5
10,4
12,0
19,0
23,0
3,3
1,0
9,0
21,0
30,0
9,3
0,0
7,0
21,1
28,3
12,0
5,0
9,2
24,0
29,3
17,1
0,0
8,0
27,1
31,6
15,0
0,4
16,2
28,0
27,2
9,3
0,1
10,4
28,0
19,1
7,0
0,5
17,2
30,3
25,1
5,0
6,0
14,2
27,0
27,0
5,5
7,0
21,0
31,0
15,0
0,2
8,1
22,6
29,0
23,0
0,0
9,0
18,0
28,2
15,1
0,0
11,0
21,1
18,1
13,1
1,0
13,0
33,12
10,2
4,2
10,4
27,0
18,0
0,4
7,0
10,0
28,7
17,1
3,2
7,0
14,4
22,0
17,0
4,1
9,0
19,0
23,2
17,3
0,0
10,3
22,0
13,0
6,3
0,3
18,0
24,1
21,0
2,0
2,0
14,0
24,1
18,1
0,0
5,0
15,3
31,1
14,0
0,0
7,2
17,0
36,2
13,0
0,1
7,0
22,1
27,1
13,0
1,0
9,0
19,0
27,4
12,0
5,0
10,2
25,0
15,0
5,0
3,0
14,0
24,1
18,1
0,0
4,0
12,2
23,0
19,3
0,0
8,0
11,0
22,3
16,0
0,0
9,0
15,0
21,0
18,3
0,0
11,0
21,1
21,1
7,0
0,0
13,2
27,5
13,0
6,0
2,0
16,0
26,0
19,0
5,5
2,0
19,0
34,7
20,5
0,0
5,1
17,0
29,4
17,4
0,0
9,0
19,0
33,3
15,0
1,0
9,0
23,0
30,1
15,0
0,1
12,0
26,0
26,4
10,0
13,0
28,0
24,0
9,0
0,0
12,0
27,2
20,0
7,0
1,0
14,0
26,0
20,0
3,0
3,3
15,0
28,3
21,0
0,0
6,1
23,0
31,6
17,2
0,0
9,1
20,0
32,0
17,3
5,0
7,0
22,2
26,0
16,0
0,1
9,1
24,0
30,4
14,0
2,2
7,0
23,0
30,1
14,2
6,0
17,0
26,0
19,3
5,1
6,0
16,0
27,0
19,1
2,0
6,3
17,1
30,0
18,3
0,0
10,0
22,3
25,0
9,4
0,0
13,0
21,0
21,0
12,4
10,0
23,0
29,2
11,9
10,1
19,6
29,15
0,0
1,0
25,4
29,44
69,29
16,6
14,0
9,8
2,0
0,68
53,20
58,39
22,36
19,16
6,1
3,12
3,7
21,4
35,6
12,3
3,0
29,4
0,12
43,16
8,2
8,8
11,0
25,0
24,0
11,1
10,2
28,0
28,2
4,0
0,0
10,3
27,0
26,0
3,3
0,2
11,1
22,0
24,4
8,2
5,0
10,1
24,0
23,2
4,0
5,0
12,6
23,1
16,5
0,2
6,0
18,2
21,0
16,0
0,0
8,4
12,0
18,0
15,4
0,0
3,0
14,0
24,8
14,3
1,0
12,0
24,1
27,3
9,6
0,0
11,0
25,2
19,0
7,1
0,0
11,3
25,0
14,2
3,0
6,0
14,0
33,3
18,0
3,0
5,1
17,0
29,1
17,3
0,5
9,2
17,1
28,3
13,4
0,0
8,0
19,0
27,1
9,0
0,6
4,0
17,0
30,1
12,0
1,0
3,0
16,1
24,8
15,0
0,0
6,0
16,5
27,1
16,2
0,0
6,0
19,0
29,5
15,0
0,2
8,0
18,0
30,0
16,0
3,2
7,0
22,0
28,4
17,7
0,2
11,0
29,4
21,0
4,0
3,0
13,0
28,0
23,0
0,2
5,1
9,0
20,0
24,0
9,2
0,0
8,0
18,0
27,1
18,3
2,0
12,2
23,0
29,0
6,0
2,0
13,0
29,0
18,0
2,0
5,0
12,1
25,0
15,0
0,0
5,0
14,0
24,0
16,2
0,0
8,0
15,0
23,0
16,0
3,2
7,0
19,2
24,0
19,7
0,0
11,2
23,2
18,8
8,0
0,0
13,0
23,0
9,0
16,6
2,0
17,10
26,2
17,4
0,0
8,0
9,0
30,4
12,0
1,6
2,0
16,0
24,4
17,3
0,7
6,0
18,0
27,6
12,4
0,0
8,0
15,4
25,0
12,6
0,0
9,0
20,9
21,3
16,17
13,2
22,0
17,1
8,2
6,0
11,0
28,10
13,0
0,2
5,3
16,0
25,3
12,2
0,6
5,0
33,4
24,0
8,1
1,0
1,0
17,0
22,6
15,1
0,9
5,0
18,8
28,0
14,0
0,0
11,0
26,1
25,2
7,3
5,0
8,4
21,0
27,1
14,0
5,0
9,0
9,0
30,3
17,12
6,0
15,0
24,0
18,2
0,0
5,0
15,0
28,2
15,0
0,0
11,0
17,3
22,1
13,0
5,0
16,0
28,3
18,0
1,0
2,0
16,0
27,3
9,3
7,2
6,0
15,0
25,1
15,0
5,0
6,0
15,0
30,1
21,0
3,1
7,0
14,0
29,3
15,3
0,0
12,6
21,1
25,0
9,0
0,0
4,1
21,0
29,4
15,2
0,0
9,2
19,0
23,3
8,0
0,0
7,0
16,0
27,6
16,1
0,3
6,3
16,5
25,4
12,6
0,4
11,0
22,0
18,1
5,4
0,0
8,0
14,0
23,1
9,2
2,0
4,0
16,0
23,1
20,0
0,0
6,1
17,0
25,5
13,4
0,0
7,0
14,0
26,2
12,0
0,0
6,0
17,0
28,1
16,1
0,0
12,0
