Signal1,Signal2
26,0
31,5
21,4
13,0
6,0
2,0
7,6
9,8
32,19
26,11
30,6
27,9
31,6
24,0
12,7
5,0
0,3
6,1
11,2
30,18
23,11
41,9
32,13
29,4
17,0
7,4
5,0
0,2
5,3
13,4
29,12
24,8
21,8
28,7
28,2
14,0
11,0
4,0
0,4
0,5
15,8
28,18
25,5
26,5
7,2
0,8
17,10
26,6
13,1
0,0
9,11
19,4
27,7
10,0
2,3
18,12
27,2
8,0
0,3
14,10
28,3
13,7
0,5
9,4
31,20
32,3
8,2
0,2
15,10
28,9
14,0
0,2
9,8
21,5
29,9
27,5
0,5
10,3
29,6
24,0
5,0
3,9
17,8
27,0
27,3
4,0
2,0
23,11
30,9
16,0
1,6
18,9
17,13
0,0
3,7
5,4
17,10
26,7
18,3
0,4
20,13
29,8
0,0
0,0
6,5
24,12
29,12
5,1
1,0
20,10
32,9
3,1
5,1
9,8
27,11
31,11
5,1
2,4
21,12
36,6
21,0
0,4
23,9
27,3
26,8
9,0
2,4
23,9
29,4
35,3
6,0
7,3
29,8
32,0
28,3
0,9
9,9
31,9
32,4
24,7
0,0
29,12
33,10
15,0
7,4
25,7
0,0
37,9
13,0
10,6
28,5
39,7
13,0
4,0
26,12
33,13
8,3
1,0
19,8
29,7
32,12
0,3
15,10
33,10
9,0
0,1
15,5
27,10
25,0
0,4
3,1
25,3
31,6
20,6
0,2
14,5
31,6
33,8
11,0
0,8
35,14
31,11
2,0
32,6
32,9
39,8
11,0
13,17
3,0
38,0
14,0
9,4
23,6
49,14
15,0
3,8
24,18
35,8
0,0
2,0
14,7
37,15
32,8
8,1
10,2
30,8
39,8
7,1
8,0
13,13
39,2
35,7
9,0
9,6
28,11
40,12
5,0
3,0
26,8
27,0
34,5
11,0
18,8
38,9
38,7
11,0
24,14
36,8
22,6
0,0
5,2
28,10
44,11
0,0
1,0
37,17
33,6
18,0
11,13
6,0
38,7
11,2
11,8
34,13
34,13
0,0
20,9
38,9
45,14
0,0
21,7
40,10
26,2
0,1
1,1
31,5
43,4
23,6
0,0
15,5
39,11
29,1
0,0
0,2
37,18
41,4
3,4
0,0
27,51
33,16
3,10
16,5
34,3
17,2
13,10
12,39
12,27
32,0
33,0
41,6
40,8
15,0
0,1
36,12
52,11
0,2
10,5
38,11
37,2
5,9
9,1
29,18
36,3
5,1
8,3
15,1
46,17
38,10
2,0
25,13
37,7
8,12
0,0
22,8
38,6
36,9
12,0
4,1
32,2
38,8
42,0
0,0
20,5
41,6
47,11
0,4
14,10
38,7
26,3
1,0
27,1
40,9
47,9
17,2
33,14
26,12
1,0
6,3
11,4
36,12
42,7
8,0
11,8
42,15
42,9
10,0
15,3
41,5
43,12
0,3
11,5
39,13
32,5
2,1
13,8
41,6
47,5
14,0
10,0
41,12
33,1
6,1
5,1
30,7
48,1
32,0
4,0
0,2
35,26
45,8
22,0
13,4
43,13
35,7
9,0
5,0
32,8
18,2
35,8
6,0
10,6
41,9
41,15
8,0
11,2
41,18
41,10
3,2
15,7
40,9
40,3
9,0
1,0
27,11
44,0
0,0
4,0
7,1
28,8
28,4
38,4
4,0
11,13
35,11
54,11
31,0
35,11
29,6
1,0
0,0
30,5
37,6
30,6
0,3
25,4
39,7
45,7
13,1
28,7
33,18
31,4
4,0
10,3
36,9
36,8
15,2
12,8
36,16
35,8
6,4
4,6
23,13
37,5
27,0
3,2
22,17
38,5
4,0
2,0
6,1
21,12
36,6
17,0
7,3
25,8
28,3
34,13
0,5
19,12
34,6
20,0
0,0
18,6
35,10
22,2
0,2
16,0
36,4
41,10
0,3
35,10
25,8
31,6
4,1
11,2
34,5
45,8
13,0
9,7
33,17
37,1
17,0
7,4
22,11
39,12
9,0
2,4
27,9
37,6
36,4
4,1
10,3
38,19
33,7
9,0
3,3
19,0
32,11
43,0
0,2
20,9
35,8
39,8
5,5
5,7
22,12
39,7
30,4
5,4
25,11
35,7
18,16
44,14
23,12
0,0
3,1
12,6
28,7
30,11
0,8
16,12
24,7
30,8
2,0
5,4
25,14
34,9
11,2
3,2
26,6
29,13
47,0
1,2
18,6
25,10
16,2
0,3
10,6
27,5
27,12
0,1
21,5
29,9
30,13
0,1
16,2
27,13
20,3
0,0
9,4
30,16
32,4
3,0
0,0
45,18
17,8
19,0
0,2
13,7
30,8
35,7
4,0
0,4
40,8
27,3
33,9
4,0
0,6
0,8
22,6
31,2
15,8
1,2
13,11
35,12
8,2
6,3
0,1
25,14
19,5
0,3
7,5
11,6
26,4
30,8
3,3
8,8
23,12
31,8
15,1
0,2
11,9
36,6
36,4
17,0
14,2
27,5
39,7
26,0
11,0
24,2
46,4
29,0
0,0
24,12
47,11
21,2
8,9
21,0
41,5
25,0
6,0
10,11
37,0
35,1
11,0
17,3
40,6
17,0
10,2
19,4
39,3
41,4
24,5
11,2
37,8
34,4
19,5
21,12
43,11
25,0
4,6
26,9
45,7
21,0
0,0
23,12
37,6
22,0
0,2
14,3
23,3
31,1
13,6
10,8
30,7
36,0
10,0
12,2
28,6
37,8
15,0
0,2
18,0
32,2
20,6
1,2
9,4
23,6
30,6
0,3
11,1
13,10
31,4
17,1
0,2
12,14
28,9
15,1
0,2
26,2
32,13
10,2
0,0
0,0
31,16
27,10
0,4
8,7
24,8
24,6
9,0
1,6
2,0
19,11
22,1
10,0
4,0
2,6
25,6
27,9
0,0
0,1
7,8
25,7
0,0
26,6
0,2
4,3
3,1
31,23
28,8
0,0
5,6
26,13
20,2
14,4
1,1
0,7
22,6
26,7
9,1
0,7
5,6
21,12
21,5
8,8
0,0
9,8
28,16
24,7
26,0
5,6
25,15
26,8
8,6
0,4
11,4
30,20
25,9
0,0
10,8
26,18
26,8
3,1
6,5
19,7
25,11
8,0
0,0
8,11
31,16
30,14
3,8
36,5
24,14
7,0
5,0
6,3
13,8
25,11
6,0
1,2
7,6
18,8
26,8
27,0
0,1
11,11
26,13
10,0
7,2
2,4
26,11
22,8
1,0
7,8
21,10
29,6
8,0
1,0
7,1
19,14
28,9
8,1
1,6
9,13
31,16
24,22
6,0
9,4
29,8
22,8
6,0
0,4
9,8
23,10
24,12
0,6
6,5
23,15
24,9
7,4
0,2
12,11
29,13
10,0
2,0
25,9
34,14
12,0
3,2
3,7
35,19
24,5
2,0
4,5
10,9
24,12
11,0
3,5
29,11
14,8
11,0
4,5
7,3
35,16
24,2
1,2
7,4
26,8
28,12
12,4
1,3
2,12
24,6
28,9
1,0
2,0
12,2
28,11
14,1
3,2
43,14
22,4
17,2
3,1
13,6
24,8
27,11
0,2
10,2
32,18
24,15
3,5
15,10
29,7
8,2
0,4
8,4
23,10
29,7
25,0
7,9
22,8
23,9
24,8
0,2
7,2
20,7
25,7
21,6
0,0
9,6
26,13
27,4
0,1
0,0
17,11
27,0
22,3
0,0
11,9
30,17
21,8
0,0
8,3
20,7
22,7
17,3
0,2
11,10
26,9
26,13
5,1
22,14
23,5
12,0
3,3
19,12
19,1
11,1
3,5
1,0
36,20
24,13
0,9
11,12
16,7
16,4
3,4
11,2
31,11
23,11
4,3
20,13
26,8
8,3
0,4
6,4
21,12
28,6
0,4
0,12
19,10
22,0
7,8
0,3
6,8
19,9
19,12
4,0
0,2
16,8
27,13
21,6
0,0
9,0
29,11
29,9
4,0
0,5
13,9
29,18
22,9
1,6
9,8
22,7
2,8
25,10
0,0
12,9
26,16
25,4
0,0
9,2
23,18
26,10
2,3
5,6
22,13
28,13
3,0
6,6
17,9
27,9
26,11
5,3
10,13
17,10
3,1
2,8
26,10
30,9
14,0
0,1
28,10
8,3
28,9
3,1
5,5
6,0
36,18
24,17
2,3
43,11
14,3
13,0
3,0
14,7
28,17
20,3
0,3
13,8
25,13
26,8
0,2
15,7
30,18
22,7
0,2
5,5
21,8
21,3
22,9
0,1
9,6
25,11
27,7
0,0
0,3
13,10
24,0
24,2
0,0
12,6
33,27
23,6
0,4
6,3
21,5
23,4
21,6
0,4
13,12
23,2
23,6
0,4
8,8
23,10
27,8
2,2
0,6
13,9
31,24
20,6
0,2
9,12
22,11
23,8
0,0
8,5
20,6
28,10
6,13
1,3
14,7
26,17
12,5
5,4
11,9
25,11
7,0
0,0
6,3
17,16
29,11
0,2
4,0
12,10
26,12
0,0
3,0
38,8
26,9
27,10
3,2
0,1
32,20
23,10
1,2
12,3
29,8
28,10
0,0
15,8
30,15
23,7
0,2
11,9
22,10
27,9
4,0
7,4
23,14
24,14
6,4
2,1
16,13
8,4
15,34
6,79
25,25
2,27
31,58
39,9
44,52
24,2
0,79
37,35
52,50
7,8
0,7
33,17
29,20
1,2
19,7
27,10
19,3
0,0
15,8
30,9
25,2
6,1
3,15
39,12
22,13
0,2
6,0
30,16
25,14
2,0
10,0
23,8
26,11
5,0
4,3
19,14
23,7
7,0
0,1
8,13
35,16
21,6
7,0
8,6
16,12
24,7
7,3
2,2
5,6
27,8
23,14
18,1
4,6
15,6
27,10
12,0
4,2
13,8
23,12
13,0
4,4
30,9
25,7
27,6
0,0
5,5
18,8
30,11
8,1
1,0
5,4
24,17
29,10
6,0
1,6
21,14
25,9
15,1
3,0
0,2
26,12
27,8
7,1
3,8
17,10
27,12
9,0
4,4
26,4
23,11
13,1
2,1
0,1
17,7
23,10
2,1
0,8
9,9
26,8
25,9
0,0
0,10
13,11
20,5
6,0
0,6
3,14
18,14
11,7
2,2
2,6
8,5
16,17
13,10
0,5
10,8
10,4
9,3
9,0
6,8
11,11
6,14
0,0
6,5
11,16
16,22
0,3
38,10
17,14
0,4
0,0
14,12
2,7
23,24
0,9
13,4
12,5
7,18
2,7
0,2
15,16
0,12
0,11
0,6
10,1
11,10
10,19
8,1
18,15
20,22
1,6
8,0
18,0
11,13
7,10
5,2
26,13
10,17
1,7
14,0
17,8
11,21
10,2
16,2
13,13
4,23
7,9
19,4
17,12
0,10
8,8
10,1
13,16
15,30
4,4
43,7
14,14
0,11
7,0
17,14
0,15
2,18
0,6
17,3
14,9
8,16
3,6
0,7
17,16
6,15
4,15
0,7
5,0
11,8
10,14
2,8
0,6
0,4
12,15
26,24
0,4
15,7
12,10
4,12
0,6
6,0
12,4
7,5
11,12
0,4
8,2
14,11
27,18
3,5
12,4
14,12
6,13
0,7
0,0
9,10
0,7
5,16
0,11
10,2
12,12
16,19
0,0
11,5
17,10
1,0
1,10
15,0
16,13
1,10
0,2
3,1
12,10
7,12
0,10
18,4
12,12
7,16
1,4
10,11
0,3
11,9
0,5
0,7
9,7
12,8
13,17
0,4
0,2
21,8
12,4
9,13
0,7
0,3
