Signal1,Signal2
0,0
10,0
18,0
0,0
4,0
2,0
66,2
10,0
42,0
10,0
16,1
13,0
6,0
12,0
22,0
63,0
23,0
36,0
17,0
36,0
36,0
10,0
9,0
3,0
5,0
18,0
62,0
83,0
36,2
19,0
52,0
0,0
18,0
8,0
13,1
2,0
7,1
30,0
7,0
31,0
7,0
75,0
30,0
16,0
8,4
3,1
0,0
45,1
61,0
11,0
17,0
1,0
30,0
19,0
12,0
5,0
12,0
3,3
30,0
23,1
36,0
52,0
27,0
4,2
26,1
2,0
18,0
33,0
14,0
0,4
0,0
36,2
25,0
30,1
2,0
57,0
22,0
22,0
11,5
64,0
34,0
13,0
13,0
47,1
31,0
16,4
19,2
56,0
17,1
20,0
23,0
51,0
23,1
9,0
18,0
4,1
9,0
14,0
12,0
3,0
5,0
60,2
12,2
25,6
14,0
53,0
0,0
23,1
19,1
2,0
31,0
13,0
24,0
61,0
46,0
24,0
16,0
16,0
45,0
24,0
33,0
48,1
46,0
22,0
17,0
39,0
54,0
33,0
12,0
57,0
62,1
27,0
21,0
49,0
24,0
15,3
32,0
52,0
77,0
15,0
0,0
16,0
15,0
19,0
33,0
34,0
3,0
21,0
22,0
21,0
21,0
35,0
17,0
17,0
24,0
15,0
24,0
35,3
26,0
14,0
22,0
45,2
18,0
14,2
14,6
50,0
35,0
27,0
7,0
33,0
35,0
16,0
29,0
30,1
17,0
25,0
27,0
49,0
53,0
17,1
15,0
45,0
31,0
22,1
10,0
55,1
53,0
14,0
7,0
25,2
42,4
13,0
34,0
23,0
32,0
27,0
19,0
34,0
17,1
28,0
35,0
38,0
34,1
12,0
37,0
26,1
38,0
28,0
46,0
24,0
42,1
30,8
15,1
19,2
40,4
37,0
40,1
31,1
28,0
50,1
5,5
6,3
40,0
24,0
41,0
0,0
17,0
26,2
11,0
50,3
9,1
14,0
35,0
26,0
17,0
0,0
44,0
34,1
0,0
16,5
19,0
28,0
68,2
15,0
21,0
39,0
62,4
0,0
7,0
16,0
55,0
62,0
13,0
27,0
73,5
59,0
7,2
9,0
17,0
41,0
36,1
22,6
30,3
42,2
18,5
13,2
23,0
46,1
34,0
14,0
42,0
25,0
45,0
17,0
39,1
38,0
27,1
33,0
20,0
30,1
34,0
26,0
33,0
42,0
32,0
22,0
37,4
28,0
48,0
13,0
23,0
38,0
43,1
14,0
34,4
30,0
53,0
12,3
33,0
71,7
66,12
25,4
47,0
45,5
7,44
9,23
71,23
63,6
4,7
23,12
30,14
0,21
0,9
25,5
32,13
26,3
15,10
7,5
39,0
0,0
0,7
44,0
47,15
101,0
3,7
15,0
56,0
65,0
0,0
38,0
27,0
7,11
13,0
13,3
31,0
36,3
11,2
0,0
46,4
39,0
55,0
18,0
17,0
46,1
69,3
0,0
6,0
43,0
47,0
80,1
12,6
36,0
52,6
16,0
0,0
0,2
14,1
46,0
67,1
19,5
3,0
92,4
64,0
24,0
16,0
50,6
49,4
17,0
18,0
78,0
89,0
12,2
23,0
65,0
55,0
7,0
42,0
1,16
68,1
30,0
19,3
26,0
57,0
28,0
46,2
45,2
50,2
33,3
25,0
37,0
65,0
40,2
62,7
22,1
51,0
19,2
48,0
28,3
56,2
31,0
55,7
18,0
59,0
22,0
26,0
26,0
59,0
36,1
64,0
27,0
74,2
22,0
33,0
35,4
59,0
30,0
39,0
41,2
72,0
28,0
53,0
32,0
49,0
30,0
44,3
18,0
62,0
23,2
66,0
36,0
70,2
33,2
37,0
13,0
64,0
30,0
