Signal1,Signal2
32,0
8,0
7,0
0,0
9,1
16,1
31,3
23,0
30,0
28,0
22,0
24,0
7,0
2,0
6,1
23,3
22,3
31,0
23,0
33,0
30,0
15,0
7,0
0,0
2,1
16,0
33,2
23,0
41,1
35,2
31,0
37,0
0,1
5,0
20,1
39,2
37,0
0,0
23,3
31,0
30,4
9,0
4,0
28,1
31,0
20,0
0,1
12,1
38,0
41,0
0,7
0,0
14,0
39,1
38,4
0,0
16,10
30,0
19,0
0,4
9,0
38,6
31,0
29,0
0,0
18,6
35,47
23,14
27,13
41,18
6,6
0,2
41,14
34,0
13,1
0,2
15,1
45,0
41,0
3,0
18,0
21,5
32,0
5,0
8,4
13,2
31,3
24,0
4,0
9,1
33,0
48,1
18,3
0,0
16,1
47,4
44,4
0,6
19,1
31,1
36,3
13,1
7,1
32,0
38,0
14,0
0,3
4,0
34,2
28,0
3,0
0,0
15,5
33,6
32,2
0,1
4,0
19,5
32,3
29,0
0,2
19,1
27,0
27,0
4,0
5,5
28,3
18,2
17,0
0,0
6,0
33,0
18,0
10,0
5,8
20,0
34,10
25,1
6,0
19,3
31,0
12,2
0,0
10,1
32,0
32,0
0,0
2,3
15,0
34,0
33,0
0,0
11,0
24,0
29,2
5,0
0,0
29,3
22,0
21,1
0,0
7,2
29,0
24,2
15,0
0,0
13,0
35,0
36,0
3,0
0,1
13,0
41,5
40,3
1,1
11,4
27,3
35,1
19,5
7,2
34,0
30,0
20,6
0,4
16,2
34,0
41,3
6,3
15,0
27,0
34,3
15,3
11,0
40,4
45,1
8,2
0,4
21,1
35,0
39,2
0,2
11,0
31,2
41,6
17,4
10,0
35,0
42,1
6,1
0,3
16,0
39,4
36,4
0,0
15,0
31,2
35,0
15,1
13,0
34,0
41,3
9,1
0,2
10,0
43,7
41,5
2,0
12,0
30,5
39,3
14,3
15,0
34,1
43,5
2,0
0,0
17,0
40,6
44,8
0,0
15,2
25,0
35,5
13,2
12,2
37,0
45,0
7,8
0,0
20,0
37,0
47,4
1,0
17,0
29,3
37,4
12,2
15,1
38,3
41,0
3,0
0,2
19,0
41,2
42,6
3,0
18,1
35,1
34,1
13,6
14,0
35,3
47,1
3,0
0,0
16,0
41,1
44,5
0,0
23,1
31,0
36,5
9,0
3,0
32,0
31,0
24,1
0,0
8,0
37,5
35,8
22,1
0,0
21,0
42,3
49,5
2,2
10,0
24,0
41,10
7,3
7,0
36,5
41,3
20,4
0,0
21,0
44,3
47,5
7,0
12,0
29,0
40,0
23,8
10,0
46,5
47,2
5,0
0,1
15,1
39,3
55,5
11,1
24,0
40,4
28,0
9,2
8,0
37,1
47,7
29,6
9,10
25,1
48,3
47,6
0,0
27,1
42,1
37,6
15,4
26,1
53,10
25,4
4,2
33,1
36,6
33,10
10,0
36,3
46,5
21,6
8,0
40,1
48,8
29,0
0,1
17,2
48,8
58,8
10,4
33,3
45,2
42,5
16,3
20,0
43,4
50,6
9,6
22,0
40,10
36,7
13,7
27,1
52,5
51,8
5,1
22,0
44,10
28,0
0,3
20,1
54,4
65,9
8,2
12,1
34,4
49,6
29,8
4,0
43,3
49,6
29,3
9,4
18,2
48,1
61,8
10,1
30,3
35,4
35,7
10,2
22,1
53,4
57,9
8,0
24,0
38,2
41,3
22,4
12,0
53,2
61,9
14,5
28,0
43,1
39,5
20,2
23,0
44,6
55,5
10,2
32,1
47,3
32,5
12,3
22,0
48,4
49,4
4,0
21,0
38,2
37,5
17,2
18,0
50,6
57,3
10,0
33,2
45,5
35,12
7,1
24,0
55,8
53,11
2,2
34,3
46,4
35,12
17,0
34,6
47,10
12,5
27,2
51,4
51,10
8,6
37,0
43,1
30,6
2,4
13,0
53,3
60,10
0,2
32,0
47,1
36,4
12,2
27,0
51,8
59,6
13,7
35,0
40,4
31,0
9,1
17,2
52,6
63,7
14,5
27,0
43,0
38,3
19,3
24,2
52,2
60,9
10,6
30,0
49,1
35,0
13,2
28,3
49,5
52,5
10,0
38,5
49,7
31,0
3,0
18,0
49,0
66,6
11,0
32,0
49,6
36,9
15,3
21,0
60,7
60,8
8,1
26,3
36,1
45,10
11,0
29,0
55,4
49,3
0,2
34,2
46,3
37,5
14,2
20,0
54,8
64,6
10,6
34,0
49,0
35,2
14,0
28,2
52,6
50,7
4,5
19,0
38,0
44,9
19,5
17,0
52,9
66,11
0,1
36,1
45,8
40,2
15,3
26,5
58,7
59,8
9,3
31,0
40,3
44,6
24,8
9,0
43,0
55,8
29,1
0,5
26,0
59,2
55,6
8,0
28,0
35,0
43,7
23,11
27,0
57,4
49,10
25,0
50,4
66,7
15,4
21,0
42,4
45,15
5,2
26,2
51,3
62,10
0,1
37,0
42,7
39,9
19,3
25,3
47,5
61,11
4,0
36,0
48,6
35,3
8,4
8,0
46,1
53,6
23,9
0,3
17,0
60,3
60,13
2,7
37,0
51,3
33,8
8,0
10,1
50,0
63,8
14,2
33,1
41,4
44,9
19,8
20,0
55,2
60,9
10,0
39,0
39,3
39,6
13,7
26,0
56,4
58,8
9,2
23,0
43,0
43,9
20,8
24,4
55,4
66,8
14,0
38,0
49,4
39,5
13,4
26,3
51,5
61,11
1,0
37,3
49,2
35,6
8,5
7,0
42,5
46,5
27,6
0,0
25,0
58,4
59,0
8,0
33,2
35,0
42,4
18,4
8,5
38,4
55,6
27,6
6,0
23,0
62,12
28,6
4,0
41,0
43,2
36,6
13,5
29,0
57,8
49,9
0,0
28,0
40,1
39,5
15,2
24,0
52,3
60,10
0,1
38,1
56,1
35,6
11,5
25,4
48,2
54,7
5,0
19,0
34,1
40,9
20,4
20,2
48,5
57,7
7,2
7,3
26,0
53,6
52,6
8,4
30,0
46,2
41,4
17,1
19,0
51,0
61,5
12,5
37,0
45,4
40,11
0,6
23,0
52,10
33,7
2,2
35,0
43,4
34,4
10,4
21,5
55,7
49,4
0,2
30,0
39,2
40,4
19,5
20,0
52,9
59,11
0,0
36,0
50,4
34,5
8,0
0,0
39,4
44,9
37,4
0,3
24,0
59,1
57,6
17,6
36,2
49,6
38,2
13,2
25,0
51,3
49,5
8,7
29,0
39,4
37,2
21,3
19,0
49,2
60,8
10,0
33,0
42,0
38,3
16,4
22,0
49,6
56,11
7,0
40,5
45,2
32,1
5,4
20,4
50,5
63,5
15,0
28,0
43,2
40,7
19,3
22,0
58,4
61,9
13,0
36,0
49,7
40,8
13,8
27,0
52,5
54,11
11,2
43,0
60,4
16,1
27,0
36,0
45,7
22,4
14,0
51,3
61,5
15,4
30,0
41,1
41,3
13,3
20,0
60,9
60,8
11,0
37,2
49,3
37,0
10,1
25,1
50,3
50,9
5,1
18,0
36,3
45,1
19,5
17,0
46,0
64,5
11,2
