Signal1,Signal2
42,350
39,186
20,70
0,33
8,97
27,179
7,11
11,119
38,132
11,201
49,302
7,59
45,322
45,246
27,110
22,143
17,191
58,307
0,48
39,325
40,244
11,99
46,235
8,14
14,117
18,91
0,92
17,146
24,71
12,152
44,281
0,49
44,300
41,250
15,112
26,150
11,131
39,271
0,27
32,307
62,263
41,96
49,268
13,7
11,127
29,127
27,189
52,313
8,67
35,302
40,225
15,109
31,112
17,200
47,292
0,47
35,305
47,242
16,102
19,134
2,151
25,193
0,13
30,183
52,324
10,78
54,329
13,110
24,146
19,60
4,207
79,232
4,21
37,255
51,293
1,90
48,335
18,183
18,132
28,73
10,123
36,278
0,34
52,312
52,263
25,90
60,289
10,28
9,155
19,119
29,176
42,302
4,74
45,315
56,251
11,109
8,132
10,28
19,166
7,46
5,91
12,149
33,80
13,166
42,301
0,59
49,321
50,235
19,108
41,141
1,145
34,187
5,5
0,100
30,190
18,30
38,285
42,306
18,97
47,312
28,58
21,127
29,96
15,147
52,298
0,36
40,305
35,255
22,100
38,175
2,102
38,189
0,17
4,191
37,238
0,30
37,242
43,295
15,56
52,323
26,70
11,123
22,96
10,104
41,258
0,29
38,300
56,282
9,77
56,332
0,129
18,98
38,213
2,41
29,121
17,101
29,223
46,282
3,67
59,332
37,208
12,109
40,114
23,200
54,297
0,54
33,322
46,215
15,109
31,120
17,188
48,288
0,76
34,296
48,230
20,98
28,219
4,32
23,135
16,94
6,90
14,137
10,44
27,172
47,276
12,42
49,322
29,128
19,138
11,84
5,172
47,193
5,15
28,226
46,302
16,91
50,322
19,92
23,126
28,99
4,90
31,136
19,84
19,166
40,295
0,52
43,302
43,234
7,32
43,316
32,112
21,152
10,48
35,217
48,284
7,57
48,310
47,209
13,113
16,115
0,182
38,218
0,3
3,123
26,180
4,5
6,63
18,126
15,95
17,140
41,275
0,42
37,306
56,238
11,81
51,238
13,16
16,145
16,67
32,206
48,292
1,50
39,320
43,236
3,118
41,203
0,4
13,99
55,269
1,26
13,103
20,130
16,194
41,275
0,60
36,297
48,249
0,100
28,235
2,10
13,125
39,110
14,200
57,310
6,76
49,305
28,199
33,110
37,119
23,190
42,276
0,53
44,319
49,234
11,106
12,115
19,192
43,287
3,55
37,316
35,221
9,103
49,224
0,25
21,122
3,83
16,22
23,148
9,61
18,49
33,158
3,26
0,128
22,191
0,9
6,69
20,138
10,67
16,140
27,253
0,26
32,279
32,268
9,87
45,328
67,135
22,143
23,79
4,188
41,193
7,0
0,114
27,185
2,0
9,54
22,126
27,77
10,127
49,268
12,42
41,315
28,167
20,126
35,109
26,225
38,275
0,94
36,313
31,193
16,112
5,81
15,29
12,138
8,60
0,25
4,115
19,162
2,112
29,177
3,0
0,49
15,125
28,77
12,98
32,188
10,17
31,272
38,240
8,84
38,288
26,124
18,134
16,75
23,140
35,262
0,65
41,292
25,215
17,91
49,234
0,12
9,111
40,189
0,87
20,131
6,68
0,34
13,107
21,99
0,107
26,184
49,10
30,265
45,275
1,86
45,312
24,138
16,130
13,69
3,125
32,183
1,1
7,84
30,135
19,72
22,156
34,247
4,46
44,303
50,234
16,107
27,146
22,145
35,277
10,42
55,323
29,165
13,121
26,94
14,103
43,251
6,35
48,295
40,236
15,88
41,262
3,17
22,103
32,127
21,181
32,248
0,43
41,301
40,232
18,90
35,207
9,10
21,115
22,94
0,81
18,146
9,69
1,9
7,115
44,278
13,37
13,127
17,71
11,152
22,274
13,65
33,310
18,136
24,136
6,47
6,12
11,110
16,79
1,86
30,139
22,86
13,139
25,262
0,42
40,298
38,250
17,89
15,229
0,15
18,110
18,97
0,75
23,138
11,56
29,132
47,277
9,57
39,283
46,221
17,79
42,265
4,11
23,106
23,108
19,181
53,266
10,62
